frame_comic1,40,"2_1.png",109,43,0.924,0.924,0,1,0,1,0
TEXT,COMIC_2_1,frame_comic1,82,96,107,92,0,0,0,0,0
frame_comic1,63,"2_1.png",93,32,1,1,1,1,0,1,0
TEXT,COMIC_2_1,frame_comic1,82,96,107,92,0,0,0,0,0
frame_comic2,174,"2_2.png",550,33,1,1,0,1,0,1,1
TEXT,COMIC_2_2_1,frame_comic2,80,28,142,40,0,0,0,0,0
TEXT,COMIC_2_2_2,frame_comic2,68,100,59,52,0,0,0,0,0
frame_comic2,188,"2_2.png",540,32,1,1,1,2,0,1,1
TEXT,COMIC_2_2_1,frame_comic2,80,28,142,40,0,0,0,0,0
TEXT,COMIC_2_2_2,frame_comic2,68,100,59,52,0,0,0,0,0
frame_comic3,303,"2_3.png",778,21,1,1,0,1,0,1,2
TEXT,COMIC_2_3,frame_comic3,107,53,68,30,0,0,0,0,0
frame_comic3,318,"2_3.png",778,32,1,1,1,2,0,1,2
TEXT,COMIC_2_3,frame_comic3,107,53,68,30,0,0,0,0,0
frame_comic4,379,"2_4.png",74,365,1,1,0,1,0,1,3
TEXT,COMIC_2_4_1,frame_comic4,126,64,101,53,0,0,0,0,0
TEXT,COMIC_2_4_2,frame_comic4,147,334,72,34,0,0,0,0,0
frame_comic4,395,"2_4.png",94,365,1,1,1,2,0,1,3
TEXT,COMIC_2_4_1,frame_comic4,126,64,101,53,0,0,0,0,0
TEXT,COMIC_2_4_2,frame_comic4,147,334,72,34,0,0,0,0,0
frame_comic5,511,"2_5.png",308,378,1,1,0,1,0,1,4
TEXT,COMIC_2_5,frame_comic5,54,101,80,69,0,0,0,0,0
frame_comic5,525,"2_5.png",308,367,1,1,1,1,0,1,4
TEXT,COMIC_2_5,frame_comic5,54,101,80,69,0,0,0,0,0
frame_comic6,606,"2_6.png",570,392,0.857,0.857,0,1,0,1,5
TEXT,COMIC_2_6,frame_comic6,65,117,89,56,0,0,0,0,2
frame_comic6,614,"2_6.png",534,358,1.039,1.039,1,1,0,1,5
frame_comic6,623,"2_6.png",542,366,1,1,1,-2,0,1,5
frame_comic55,689,"comicContinue.png",805,741,1,1,0,2,0.5,0.5,6
TEXT,CINEMATICS_TAP_TO_CONTINUE,frame_comic55,0,0,195,34,-1.7331390380859375,0,0,0,1
frame_comic55,703,"comicContinue.png",805,735,1,1,1,1,0.5,0.5,6
TEXT,CINEMATICS_TAP_TO_CONTINUE,frame_comic55,0,0,195,34,-1.7331390380859375,0,0,0,1
PAGE_END,703
ORDER,frame_comic1,frame_comic2,frame_comic3,frame_comic4,frame_comic5,frame_comic6,frame_comic55
