#	COMANDOS					1					2					3					4					5					6			
	column_names				inc	1:*	1:2	1:1	1:3		2:*	2:2	2:1	2:3		3:*	3:2	3:1	3:3		4:*	4:2	4:1	4:3		5:*	5:2	5:1	5:3		6:*	6:2	6:1	6:3
#	level properties																																	
	description	main K1000																																
	lives	20																																
	gold	1000																																
	gems	150																																
	enemy_prefix	enemy_																																
	default_increment	1																																
	default_interval	20																																
#	expected gold	1200																																
#	stage total gold	1914																																
#	stage gold curve																																	
#	WAVE 1																																	
#	enemies					flame_guard	blaze_raider	wuxian	fire_phoenix		fire_fox	nine_tailed_fox	burning_treant																					
#	cant.					54	5	2	2		10	2	0	0		0	0	0	0															
#	gold	914				324	150	120	50		150	120	0	0		0	0	0	0															
	wave		1		-1																													
					0			flame_guard																										
					1.4		flame_guard		flame_guard																									
					1.4			flame_guard																										
					1.4		flame_guard		flame_guard																									
					1.4			flame_guard																										
					7		flame_guard																											
					1				flame_guard																									
					1		flame_guard																											
					1				flame_guard																									
					1		flame_guard																											
					1				flame_guard																									
					1		flame_guard																											
					6			flame_guard																										
					1.5		flame_guard		flame_guard																									
					5			flame_guard																										
					1		flame_guard		flame_guard																									
					1			flame_guard																										
					1		flame_guard		flame_guard																									
					1			flame_guard																										
																																		
																																		
																																		
#	WAVE 2																																	
#	enemies					flame_guard	blaze_raider	wuxian	fire_phoenix		fire_fox	nine_tailed_fox																						
#	cant.					0							0	0		0	0	0	0															
#	gold	0				0							0	0		0	0	0	0															
	wave		2		10																													
					1																		blaze_raider											
					6																	flame_guard												
					0.7																			flame_guard										
					0.7																	flame_guard												
					0.7																			flame_guard										
					0.7																	flame_guard												
					0.7																			flame_guard										
					0.7																	flame_guard												
					0.7																			flame_guard										
																																		
																																		
																																		
																																		
																																		
																																		
					4																	blaze_raider		blaze_raider										
																																		
					12																		flame_guard											
					1																	flame_guard		flame_guard										
					1.3																	flame_guard		flame_guard										
					1.3																	flame_guard		flame_guard										
																																		
																																		
																																		
																																		
					13.33																													
																																		
#	WAVE 3																																	
#	enemies					flame_guard	blaze_raider	wuxian	fire_phoenix		fire_fox	nine_tailed_fox																						
#	cant.					0	0	0	0		0	0	0	0		0	0	0	0															
#	gold	0				0	0	0	0		0	0	0	0		0	0	0	0															
	wave		3		35																													
					6								fire_fox																					
					1.8								fire_fox																					
					8								fire_fox																					
					0.7									fire_fox																				
					0.7							fire_fox																						
					0.7									fire_fox																				
					0.7							fire_fox																						
					0.7									fire_fox																				
					0																	flame_guard												
					0.55																			flame_guard										
					0.55																	flame_guard												
					0.55																			flame_guard										
					0.55																	flame_guard												
					0.55																			flame_guard										
																																		
																																		
					7																		flame_guard											
					0.7																			flame_guard										
					0.7																	flame_guard												
					0.7																			flame_guard										
					0.7																	flame_guard												
					0.7																			flame_guard										
					0.7																	flame_guard												
																																		
																																		
					12								fire_fox																					
