#	COMANDOS					1					2					3					4					5					6			
	column_names				inc	1:*	1:2	1:1	1:3		2:*	2:2	2:1	2:3		3:*	3:2	3:1	3:3		4:*	4:2	4:1	4:3		5:*	5:2	5:1	5:3		6:*	6:2	6:1	6:3
#	level properties																																	
	description	rodri v1																																
	lives	1																																
	gold	1900																																
	gems	150																																
	enemy_prefix	enemy_																																
	default_increment	1																																
	default_interval	20																																
#	expected gold	1200																																
#	stage total gold	6047																																
#	stage gold curve																																	
#	WAVE 1																																	
#	enemies					flame_guard	blaze_raider	wuxian	fire_phoenix		fire_fox	nine_tailed_fox																						
#	cant.					35	0	0	8		11	0																						
#	gold	575				210	0	0	200		165	0																						
	wave		1		-1																													
					1			fire_fox																										
					1.75		fire_fox																											
					1.5				fire_fox			flame_guard	flame_guard																					
					1.75		fire_fox	fire_fox					flame_guard	flame_guard																				
					1.5		fire_fox					flame_guard		flame_guard																				
					2.5							flame_guard	flame_guard																					
					1.25								flame_guard	flame_guard																				
					11.5		fire_phoenix					flame_guard		flame_guard			flame_guard		flame_guard															
					1.5		fire_phoenix		fire_phoenix				flame_guard					flame_guard																
					1.75			fire_phoenix									flame_guard		flame_guard															
					2.25												flame_guard	flame_guard	flame_guard															
					2.5			fire_fox	fire_fox																									
					2.5		fire_fox		fire_fox																									
					2			fire_fox																										
					2							flame_guard		flame_guard																				
					3		fire_phoenix						flame_guard				flame_guard		flame_guard															
					2		fire_phoenix	fire_phoenix				flame_guard		flame_guard			flame_guard	flame_guard	flame_guard															
					2				fire_phoenix				flame_guard				flame_guard	flame_guard	flame_guard															
																																		
#	WAVE 2																																	
#	enemies					flame_guard	blaze_raider	wuxian	fire_phoenix		fire_fox	nine_tailed_fox																						
#	cant.					0	11	2	0		9	0																						
#	gold	585				0	330	120	0		135	0																						
	wave		2		28																													
					1																			blaze_raider										
					1																	blaze_raider												
					3								fire_fox										blaze_raider											
					2.5							fire_fox																						
					2.5									fire_fox																				
					4																		blaze_raider											
					2																	blaze_raider		blaze_raider										
					12																							wuxian						
					6							fire_fox																						
					2.5									fire_fox									blaze_raider											
					2.5							fire_fox										blaze_raider												
					2.5																			blaze_raider										
					14								fire_fox															blaze_raider						
					2							fire_fox															blaze_raider							
					2									fire_fox															blaze_raider					
					5																							wuxian						
																																		
																																		
																																		
																																		
																																		
																																		
#	WAVE 3																																	
#	enemies					flame_guard	blaze_raider	wuxian	fire_phoenix		fire_fox	nine_tailed_fox																						
#	cant.					0	0	0	10		21	0																						
#	gold	565				0	0	0	250		315	0																						
	wave		3		28																													
					1																		fire_fox											
					4																	fire_fox												
					0.45																		fire_fox											
					0.55																			fire_fox										
					0.45																		fire_fox											
					3			fire_fox														fire_fox												
					2.5				fire_fox														fire_fox											
					3			fire_fox														fire_fox												
					2.5				fire_fox													fire_fox												
					0.45			fire_fox	fire_fox																									
					0.55		fire_fox	fire_fox																										
					7		fire_phoenix																											
					1.25				fire_phoenix																									
					1.5			fire_phoenix																										
					2		fire_phoenix																fire_fox											
					1.5				fire_phoenix															fire_fox										
					5																	fire_fox												
					3			fire_phoenix																										
					2.5				fire_phoenix														fire_fox											
					2			fire_phoenix														fire_fox												
					1.5		fire_phoenix		fire_phoenix															fire_fox										
					2																		fire_fox											
#	WAVE 4																																	
#	enemies					flame_guard	blaze_raider	wuxian	fire_phoenix		fire_fox	nine_tailed_fox																						
#	cant.					0	9	2	0		9	0																						
#	gold	525				0	270	120	0		135	0																						
	wave		4		22																													
					0																		fire_fox											
					1.5																	fire_fox												
					1.5																			fire_fox										
					2.5																							wuxian						
					4																							wuxian						
					3																	fire_fox												
					2.5																			fire_fox										
					3																	fire_fox												
					2.5																							blaze_raider						
					2.5																						blaze_raider							
					2.5																								blaze_raider					
					11																						blaze_raider							
					2																		fire_fox						blaze_raider					
					2.5																						blaze_raider							
					6																		fire_fox						blaze_raider			blaze_raider		
					3																		fire_fox						blaze_raider			blaze_raider		
					3																								blaze_raider			blaze_raider		
					2																		fire_fox											
					3																												wuxian	
																																		
																																		
																																		
																																		
																																		
#	WAVE 5																																	
#	enemies					flame_guard	blaze_raider	wuxian	fire_phoenix		fire_fox	nine_tailed_fox	burning_treant																					
#	cant.					47	0	0	0		0	0	16																					
#	gold	842				282	0	0	0		0	0	560																					
	wave		5		33																													
					0												flame_guard	flame_guard															burning_treant	
					2.5												flame_guard		flame_guard															burning_treant
					2													flame_guard	flame_guard										burning_treant			burning_treant		
					1												flame_guard	flame_guard	flame_guard															
					3.5																							burning_treant						
					4.5																						burning_treant							
					4																							burning_treant						
					5												flame_guard		flame_guard															
					2												flame_guard	flame_guard	flame_guard															
					6																						burning_treant							
					3																							burning_treant						
					4.5																								burning_treant					
					3.5																							burning_treant						
					5												flame_guard		flame_guard															
					1.5												flame_guard	flame_guard																
					1.35													flame_guard	flame_guard															
					1.75												flame_guard	flame_guard																
					1.25													flame_guard	flame_guard															
					4												flame_guard		flame_guard															
					2.5												flame_guard	flame_guard	flame_guard															
					2												flame_guard		flame_guard															
					1.5												flame_guard	flame_guard	flame_guard														burning_treant	
					1												flame_guard	flame_guard	flame_guard															
					4.5												flame_guard		flame_guard														burning_treant	
					3.5												flame_guard	flame_guard	flame_guard													burning_treant		
					4.5												flame_guard		flame_guard														burning_treant	
					3.5												flame_guard	flame_guard	flame_guard															burning_treant
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
#	WAVE 6																																	
#	enemies					flame_guard	blaze_raider	wuxian	fire_phoenix		fire_fox	nine_tailed_fox	burning_treant																					
#	cant.					0	0	3	9		6	0	16																					
#	gold	1055				0	0	180	225		90	0	560																					
	wave		6		30																													
					1								burning_treant										fire_fox									burning_treant		
					3.5									burning_treant									fire_fox										burning_treant	
					3.5							burning_treant										fire_fox												burning_treant
					2																	fire_fox		fire_fox										
					1																		fire_fox											
					9																		wuxian											
					2								burning_treant																					
					4																	wuxian												
					2							burning_treant																						
					4																			wuxian										
					2									burning_treant																				
					8																		fire_phoenix											
					4.5							burning_treant											fire_phoenix	fire_phoenix										burning_treant
					5									burning_treant								fire_phoenix											burning_treant	
					4																		fire_phoenix	fire_phoenix								burning_treant		
					6							burning_treant										fire_phoenix		fire_phoenix										
					5								burning_treant										fire_phoenix											
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
																																		
#	enemies					flame_guard	blaze_raider	wuxian	fire_phoenix		fire_fox	nine_tailed_fox																						
#	cant.					0	0	0	0		0	0	0	0		0	0	0	0															
#	gold	0				0	0	0	0		0	0	0	0		0	0	0	0															
