#	COMANDOS					1					2					3					4			
	column_names				inc	1:*	1:2	1:1	1:3		2:*	2:2	2:1	2:3		3:*	3:2	3:1	3:3		4:*	4:2	4:1	4:3
#	level properties																							
	description	rodri v1																						
	lives	20																						
	gold	1050																						
	gems	150																						
	enemy_prefix	enemy_																						
	default_increment	1																						
	default_interval	20																						
#	expected gold																							
#	stage total gold	10305																						
#	stage gold curve																							
#	WAVE 1																							
#	enemies					flame_guard	blaze_raider	fire_fox	fire_phoenix		wuxian	nine_tailed_fox	burning_treant	ash_spirit										
#	cant.					19	0	10	0		0	0	0	0		0	0	0	0					
#	gold	264				114	0	150	0		0	0	0	0		0	0	0	0					
	wave		1		-1																			
					2		flame_guard		flame_guard				fire_fox											
					1			flame_guard																
					4		flame_guard		flame_guard				fire_fox											
					1.5		flame_guard		flame_guard															
					1.5			flame_guard																
					5							fire_fox												
					3								fire_fox											
					3									fire_fox										
					7			flame_guard					fire_fox											
					1.5		flame_guard		flame_guard															
					2			flame_guard					fire_fox											
					1.5		flame_guard		flame_guard															
					6			flame_guard					fire_fox											
					1.5				flame_guard			fire_fox												
					1.5			flame_guard						fire_fox										
					1.5		flame_guard		flame_guard															
	43.5																							
																								
																								
																								
																								
																								
#	WAVE 2																							
#	enemies					flame_guard	blaze_raider	fire_fox	fire_phoenix		wuxian	nine_tailed_fox	burning_treant	ash_spirit										
#	cant.					0	0	7	10		0	0	0	0		0	0	0	0					
#	gold	355				0	0	105	250		0	0	0	0		0	0	0	0					
	wave		2		30																			
					2													fire_fox						
					3														fire_fox					
					2												fire_fox							
					5													fire_phoenix						
					3.5												fire_phoenix							
					3														fire_phoenix					
					5													fire_phoenix						
					2.5													fire_fox						
					3.5													fire_phoenix						
					2.5													fire_fox						
					4												fire_phoenix							
					3														fire_phoenix					
					3												fire_fox							
					2														fire_fox					
					4													fire_phoenix						
					3												fire_phoenix							
					3														fire_phoenix					
	54																							
																								
																								
																								
																								
																								
																								
																								
#	WAVE 3																							
#	enemies					flame_guard	blaze_raider	fire_fox	fire_phoenix		wuxian	nine_tailed_fox	burning_treant	ash_spirit										
#	cant.					13	0	7	0		0	4	0	0		0	0	0	0					
#	gold	423				78	0	105	0		0	240	0	0		0	0	0	0					
	wave		3		16																			
					2									nine_tailed_fox										
					3							nine_tailed_fox												
					9							fire_fox												
					4									fire_fox										
					4								fire_fox											
					4							fire_fox												
					7.5							nine_tailed_fox												
					3									nine_tailed_fox										
					8								fire_fox											
					3.5							fire_fox												
					3									fire_fox								flame_guard		flame_guard
					3																		flame_guard	
					1.5																	flame_guard		flame_guard
					3																		flame_guard	
					1.5																	flame_guard		
					1																			flame_guard
					3																	flame_guard		flame_guard
					2																	flame_guard		flame_guard
					1																		flame_guard	
	67																							
																								
																								
																								
																								
																								
																								
																								
																								
																								
#	WAVE 4																							
#	enemies					flame_guard	blaze_raider	fire_fox	fire_phoenix		wuxian	nine_tailed_fox	burning_treant	ash_spirit										
#	cant.					0	0	9	0		0	0	8	0		0	0	0	0					
#	gold	415				0	0	135	0		0	0	280	0		0	0	0	0					
	wave		4		25																			
					10																	burning_treant		
					3													fire_fox						
					2.5																			burning_treant
					2.5													fire_fox						
					10																	burning_treant		
					2.5													fire_fox						
					5																			burning_treant
					2.5													fire_fox						
					10																		burning_treant	
					2														fire_fox					
					3												fire_fox							
					5																			burning_treant
					5													fire_fox				burning_treant		
					4.5												fire_fox						burning_treant	
					2.5														fire_fox					
	70																							
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
#	WAVE 5																							
#	enemies					flame_guard	blaze_raider	fire_fox	fire_phoenix		wuxian	nine_tailed_fox	burning_treant	ash_spirit										
#	cant.					0	8	0	13		0	0	0	0		0	0	0	0					
#	gold	565				0	240	0	325		0	0	0	0		0	0	0	0					
	wave		5		29																			
					2		blaze_raider																	
					3				blaze_raider															
					4													fire_phoenix						
					2.5													fire_phoenix						
					3		blaze_raider											fire_phoenix						
					3.5			blaze_raider																
					3				blaze_raider															
					5												fire_phoenix							
					2													fire_phoenix						
					1.5														fire_phoenix					
					2													fire_phoenix						
					5												fire_phoenix							
					4			blaze_raider											fire_phoenix					
					4		blaze_raider											fire_phoenix						
					3				blaze_raider															
					3.5														fire_phoenix					
					2												fire_phoenix							
					1													fire_phoenix						
	54																							
																								
																								
																								
																								
#	WAVE 6																							
#	enemies					flame_guard	blaze_raider	fire_fox	fire_phoenix		wuxian	nine_tailed_fox	burning_treant	ash_spirit										
#	cant.					23	0	0	0		0	0	0	3		0	0	0	0					
#	gold	333				138	0	0	0		0	0	0	195		0	0	0	0					
	wave		6		15																			
					1														ash_spirit					
					5												ash_spirit							
					12																	flame_guard		
					1																			flame_guard
					1.25																		flame_guard	
					2																	flame_guard		flame_guard
					1																	flame_guard		flame_guard
					1.25																		flame_guard	
					10													ash_spirit						
					6																		flame_guard	
					1																		flame_guard	
					1																	flame_guard		flame_guard
					1																		flame_guard	
					5																		flame_guard	
					1																	flame_guard		flame_guard
					1.5																		flame_guard	
					0.66																		flame_guard	
					0.75																		flame_guard	
					0.66																	flame_guard		flame_guard
					0.75																		flame_guard	
					0.66																		flame_guard	
	54.48																							
																								
																								
																								
																								
																								
																								
																								
																								
																								
#	WAVE 7																							
#	enemies					flame_guard	blaze_raider	fire_fox	fire_phoenix		wuxian	nine_tailed_fox	burning_treant	ash_spirit										
#	cant.					0	6	15	0		0	0	0	2		0	0	0	0					
#	gold	535				0	180	225	0		0	0	0	130		0	0	0	0					
	wave		7		25																			
					13								fire_fox											
					2.5							fire_fox												
					2			blaze_raider						fire_fox										
					3		blaze_raider						fire_fox											
					2.5				blaze_raider			fire_fox												
					1									fire_fox										
					6			blaze_raider																
					3				blaze_raider													fire_fox		
					1.5		blaze_raider																	fire_fox
					3												ash_spirit							
					5							fire_fox							ash_spirit					
					1								fire_fox											
					0.66									fire_fox									fire_fox	
					3																	fire_fox		
					3.5																			fire_fox
					3																		fire_fox	
																								
	53.66																							
																								
																								
																								
																								
																								
																								
																								
																								
#	WAVE 8																							
#	enemies					flame_guard	blaze_raider	fire_fox	fire_phoenix		wuxian	nine_tailed_fox	burning_treant	ash_spirit										
#	cant.					0	11	8	0		0	3	0	0		0	0	0	0					
#	gold	630				0	330	120	0		0	180	0	0		0	0	0	0					
	wave		8		20																			
					2		blaze_raider																	
					1				blaze_raider			fire_fox												
					5			blaze_raider						fire_fox										
					2.5		blaze_raider																	
					2				blaze_raider				fire_fox											
					10								nine_tailed_fox											
					5			blaze_raider				fire_fox												
					4		blaze_raider							fire_fox										
					3				blaze_raider															
					12							nine_tailed_fox												
					4									nine_tailed_fox										
					6		blaze_raider						fire_fox											
					3				blaze_raider			fire_fox												
					3.5			blaze_raider						fire_fox										
																								
																								
																								
																								
	63																							
																								
																								
																								
																								
																								
																								
																								
																								
#	WAVE 9																							
#	enemies					flame_guard	blaze_raider	fire_fox	fire_phoenix		wuxian	nine_tailed_fox	burning_treant	ash_spirit										
#	cant.					0	7	0	0		4	0	7	0		0	0	0	0					
#	gold	695				0	210	0	0		240	0	245	0		0	0	0	0					
	wave		9		25																			
					2			wuxian																
					5		blaze_raider															burning_treant		
					2.5				blaze_raider															burning_treant
					3.5																		burning_treant	
					8			wuxian																
					5		blaze_raider															burning_treant		
					3				blaze_raider															burning_treant
					4																		burning_treant	
					3																	burning_treant		
					9		wuxian																	
					3				wuxian															
					9		blaze_raider		blaze_raider															
					4			blaze_raider																
	61																							
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
#	WAVE 10																							
#	enemies					flame_guard	blaze_raider	fire_fox	fire_phoenix		wuxian	nine_tailed_fox	burning_treant	ash_spirit										
#	cant.					0	0	0	12		4	0	0	2		0	0	0	0					
#	gold	670				0	0	0	300		240	0	0	130		0	0	0	0					
	wave		10		30																			
					13							ash_spirit												
					3									ash_spirit										
					8			wuxian					fire_phoenix											
					3							fire_phoenix												
					3									fire_phoenix										
					3								fire_phoenix											
					5			wuxian				fire_phoenix												
					4									fire_phoenix										
					3								fire_phoenix											
					3							fire_phoenix												
					2									fire_phoenix										
					8		wuxian																	
					3				wuxian				ash_spirit											
					6							fire_phoenix												
					3									fire_phoenix										
					3								fire_phoenix											
	73																							
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
#	WAVE 11																							
#	enemies					flame_guard	blaze_raider	fire_fox	fire_phoenix		wuxian	nine_tailed_fox	burning_treant	ash_spirit										
#	cant.					0	0	9	0		0	5	8	0		0	0	0	0					
#	gold	715				0	0	135	0		0	300	280	0		0	0	0	0					
	wave		11		25																			
					1																		burning_treant	
					3.5																	burning_treant		
					3			nine_tailed_fox									fire_fox							burning_treant
					6				nine_tailed_fox										fire_fox					
					6		nine_tailed_fox											fire_fox						
					15																		burning_treant	
					3.5													fire_fox						burning_treant
					3												fire_fox					burning_treant		
					3														fire_fox					burning_treant
					2.5													fire_fox					burning_treant	
					2												fire_fox							
					2														fire_fox					
					8				nine_tailed_fox															
					5		nine_tailed_fox																	
	63.5																							
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
#	WAVE 12																							
#	enemies					flame_guard	blaze_raider	fire_fox	fire_phoenix		wuxian	nine_tailed_fox	burning_treant	ash_spirit										
#	cant.					45	0	10	18		0	0	0	0		0	0	0	0					
#	gold	870				270	0	150	450		0	0	0	0		0	0	0	0					
	wave		12		15																			
					1												fire_phoenix						flame_guard	
					2														fire_phoenix			flame_guard		flame_guard
					1																	flame_guard		flame_guard
					2.5												fire_fox						flame_guard	
					2														fire_fox			flame_guard		flame_guard
					1																	flame_guard		flame_guard
					1																	flame_guard		flame_guard
					1																	flame_guard		flame_guard
					5												fire_phoenix		fire_phoenix					
					2.5													fire_fox						
					3												fire_fox		fire_fox			flame_guard		flame_guard
					2.5													fire_phoenix					flame_guard	
					1																	flame_guard		flame_guard
					6												fire_phoenix						flame_guard	flame_guard
					1.5														fire_phoenix			flame_guard	flame_guard	
					1.5													fire_phoenix						flame_guard
					1.5																		flame_guard	
					1.5													fire_phoenix				flame_guard	flame_guard	
					5													fire_phoenix						flame_guard
					1																		flame_guard	
					1.5												fire_fox						flame_guard	
					1.5													fire_phoenix				flame_guard		flame_guard
					1.5														fire_fox				flame_guard	
					5													fire_phoenix					flame_guard	
					1												fire_phoenix					flame_guard		flame_guard
					1.5													fire_phoenix					flame_guard	
					1														fire_phoenix					flame_guard
					1.5												fire_fox						flame_guard	
					1														fire_fox			flame_guard		flame_guard
					1.5													fire_phoenix					flame_guard	
					1														fire_phoenix			flame_guard		flame_guard
					1.5												fire_phoenix						flame_guard	
					1													fire_fox						
																								
	64																							
																								
																								
																								
																								
																								
#	WAVE 13																							
#	enemies					flame_guard	blaze_raider	fire_fox	fire_phoenix		wuxian	nine_tailed_fox	burning_treant	ash_spirit										
#	cant.					0	0	18	0		5	5	0	0		0	0	0	0					
#	gold	870				0	0	270	0		300	300	0	0		0	0	0	0					
	wave		13		18																			
					2			wuxian																
					1.5																	fire_fox		fire_fox
					2																		fire_fox	
					1.5							nine_tailed_fox												fire_fox
					3			wuxian														fire_fox		
					3									nine_tailed_fox										
					8																		fire_fox	
					1.5																		fire_fox	
					1																	fire_fox		fire_fox
					7			wuxian				nine_tailed_fox												
					5									nine_tailed_fox										
					6		wuxian																	
					5								nine_tailed_fox											
					6				wuxian															
					16												fire_fox		fire_fox					
					1													fire_fox						
					1														fire_fox					
					2.5												fire_fox							
					1.5													fire_fox						
					1.5													fire_fox						
					1												fire_fox		fire_fox					
	77																							
																								
																								
																								
																								
																								
#	WAVE 14																							
#	enemies					flame_guard	blaze_raider	fire_fox	fire_phoenix		wuxian	nine_tailed_fox	burning_treant	ash_spirit										
#	cant.					0	0	12	0		0	0	10	6		0	0	0	0					
#	gold	920				0	0	180	0		0	0	350	390		0	0	0	0					
	wave		14		25																			
					14								ash_spirit				ash_spirit							
					3			fire_fox											ash_spirit					
					5		fire_fox											fire_fox					burning_treant	
					3				fire_fox									fire_fox						
					2.5													fire_fox				burning_treant		
					4													fire_fox					burning_treant	
					4													fire_fox				burning_treant		
					4																			burning_treant
					13														ash_spirit					
					5								ash_spirit				ash_spirit							
					5																			burning_treant
					4			fire_fox															burning_treant	
					3		fire_fox															burning_treant		
					3				fire_fox															burning_treant
					2.5			fire_fox															burning_treant	
	75																							
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
#	WAVE 15																							
#	enemies					flame_guard	blaze_raider	fire_fox	fire_phoenix		wuxian	nine_tailed_fox	burning_treant	ash_spirit										
#	cant.					0	0	25	0		0	6	0	4		0	0	0	0					
#	gold	995				0	0	375	0		0	360	0	260		0	0	0	0					
	wave		15		30																			
					2														ash_spirit					
					5												ash_spirit							
					3							nine_tailed_fox										fire_fox		
					5									nine_tailed_fox										fire_fox
					3		fire_fox	fire_fox														fire_fox		
					1				fire_fox															
					1		fire_fox		fire_fox															
					1			fire_fox																fire_fox
					2																	fire_fox		
					10							nine_tailed_fox												
					5			fire_fox						nine_tailed_fox										
					5				fire_fox										ash_spirit					
					4		fire_fox										ash_spirit							
					4				fire_fox															
					8			fire_fox						nine_tailed_fox										fire_fox
					3.5		fire_fox					nine_tailed_fox										fire_fox		
					3.5				fire_fox														fire_fox	
					3																			fire_fox
					2		fire_fox															fire_fox		
					2				fire_fox															
	73																							
#	Total Wave Intervals: 5.32 mins																							
																								
#	Boss Fight																							
#	enemies					flame_guard	blaze_raider	fire_fox	fire_phoenix		wuxian	nine_tailed_fox	burning_treant	ash_spirit										
#	cant.					23	9	13	0		4	0	6	2										
#	gold	1183				138	270	195	0		240	0	210	130		0	0	0	0					
	manual_wave	BOSSTEEN1																						
					2			fire_fox																
					1		fire_fox															flame_guard		flame_guard
					1																		flame_guard	
					2		fire_fox															flame_guard		flame_guard
					0.8								fire_fox										flame_guard	
					1			fire_fox														flame_guard		flame_guard
					3		wuxian					fire_fox										flame_guard		flame_guard
					2.5									fire_fox									flame_guard	
					5				wuxian				fire_fox									flame_guard		flame_guard
					8									fire_fox										
					2.5		blaze_raider					fire_fox												
					4				blaze_raider					fire_fox										
					10		wuxian						fire_fox									burning_treant		
					3				blaze_raider															burning_treant
					5		blaze_raider					fire_fox												
					7																			burning_treant
					3																	burning_treant		
					13																			burning_treant
					6				wuxian													burning_treant		
					10		blaze_raider																	
					4				blaze_raider									ash_spirit						
					3.5			blaze_raider																
					3		blaze_raider		blaze_raider															
					10														ash_spirit					
					1		flame_guard		flame_guard													flame_guard		flame_guard
					0.8			flame_guard																
					1		flame_guard		flame_guard													flame_guard		flame_guard
					0.8			flame_guard																
					1		flame_guard		flame_guard													flame_guard		flame_guard
					0.8			flame_guard																
					10																			
					1		flame_guard		flame_guard													flame_guard		flame_guard
					0.8			flame_guard																
					1		flame_guard		flame_guard													flame_guard		flame_guard
					0.8			flame_guard																
					1		flame_guard		flame_guard													flame_guard		flame_guard
					0.8			flame_guard									ash_spirit							
	manual_wave_repeat	-1			15																			
	manual_wave	BOSSTEEN2			6												fire_fox							
