#	COMANDOS					1					2					3					4			
	column_names				inc	1:*	1:2	1:1	1:3		2:*	2:2	2:1	2:3		3:*	3:2	3:1	3:3		4:*	4:2	4:1	4:3
#	level properties																							
	description	rodri v1																						
	lives	1																						
	gold	1400																						
	gems	150																						
	enemy_prefix	enemy_																						
	default_increment	1																						
	default_interval	20																						
#	expected gold	1200																						
#	stage total gold	6975																						
#	stage gold curve																							
#	WAVE 1																							
#	enemies					flame_guard	blaze_raider	wuxian	fire_phoenix		fire_fox	nine_tailed_fox	burning_treant	ash_spirit										
#	cant.					85	0	0	17		0	0	0	0										
#	gold	935				510	0	0	425		0	0	0	0										
	wave		1		-1																			
					1		flame_guard																	
					0.75				flame_guard															
					1.5			flame_guard																
					3		flame_guard		flame_guard															
					1		flame_guard		flame_guard															
					1.5			flame_guard																
					3								fire_phoenix											
					2							fire_phoenix												
					2									fire_phoenix										
					4.5		flame_guard		flame_guard															
					1			flame_guard	flame_guard															
					1		flame_guard	flame_guard																
					1.25		flame_guard		flame_guard				fire_phoenix											
					1.5			flame_guard																
					2		flame_guard		flame_guard			fire_phoenix												
					1		flame_guard	flame_guard																
					1			flame_guard	flame_guard															
					1		flame_guard		flame_guard															
					1.5			flame_guard						fire_phoenix										
					7		flame_guard																	
					0.75				flame_guard															
					1.25			flame_guard																
					1.5		flame_guard		flame_guard				fire_phoenix											
					1			flame_guard																
					1.5		flame_guard	flame_guard					fire_phoenix											
					0.75			flame_guard	flame_guard															
					0.75			flame_guard						fire_phoenix										
					0.75		flame_guard		flame_guard															
					0.75		flame_guard	flame_guard				fire_phoenix												
					1.25			flame_guard																
					7		flame_guard		flame_guard				fire_phoenix											
					0.66			flame_guard																
					0.66		flame_guard	flame_guard																
					0.66		flame_guard		flame_guard				fire_phoenix											
					0.66			flame_guard	flame_guard															
					0.66		flame_guard	flame_guard																
					0.66		flame_guard		flame_guard					fire_phoenix										
					0.66		flame_guard	flame_guard	flame_guard															
					5		flame_guard		flame_guard				fire_phoenix											
					0.66			flame_guard																
					0.66		flame_guard	flame_guard																
					0.66		flame_guard		flame_guard															
					0.66			flame_guard	flame_guard			fire_phoenix												
					0.66		flame_guard	flame_guard																
					0.66		flame_guard		flame_guard															
					0.66			flame_guard	flame_guard					fire_phoenix										
					0.66		flame_guard	flame_guard																
					0.66		flame_guard		flame_guard															
					0.66			flame_guard	flame_guard															
					0.66		flame_guard	flame_guard					fire_phoenix											
					0.66		flame_guard		flame_guard															
					0.66			flame_guard	flame_guard															
																								
#	WAVE 2																							
#	enemies					flame_guard	blaze_raider	wuxian	fire_phoenix		fire_fox	nine_tailed_fox	burning_treant	ash_spirit										
#	cant.					0	0	0	0		0	0	7	3										
#	gold	440				0	0	0	0		0	0	245	195										
	wave		2		25																			
					1													ash_spirit						
					7																	burning_treant		
					3																			burning_treant
					4																		burning_treant	
					10													ash_spirit						
					3																		burning_treant	
					5																	burning_treant		
					3																			burning_treant
					5																		burning_treant	
					6													ash_spirit						
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
#	WAVE 3																							
#	enemies					flame_guard	blaze_raider	wuxian	fire_phoenix		fire_fox	nine_tailed_fox	burning_treant	ash_spirit										
#	cant.					43	8	0	0		12	0	0	0										
#	gold	678				258	240	0	0		180	0	0	0										
	wave		3		30																			
					1																		blaze_raider	
					3																			blaze_raider
					3																	blaze_raider		
					6								fire_fox											
					2							fire_fox												
					2			flame_guard						fire_fox										
					1		flame_guard		flame_guard															
					1		flame_guard		flame_guard															blaze_raider
					1		flame_guard		flame_guard															
					1			flame_guard																
					5			flame_guard					fire_fox											
					1		flame_guard		flame_guard													blaze_raider		
					1		flame_guard		flame_guard															
					1		flame_guard		flame_guard															
					1			flame_guard					fire_fox											
					9								fire_fox											
					1							fire_fox		fire_fox										
					5		flame_guard		flame_guard				fire_fox											
					0.75			flame_guard																
					0.75		flame_guard	flame_guard																
					0.75		flame_guard		flame_guard															
					1.5			flame_guard	flame_guard			fire_fox											blaze_raider	
					0.75		flame_guard	flame_guard						fire_fox										
					0.75		flame_guard		flame_guard															
					0.75			flame_guard	flame_guard															
					3.5		flame_guard	flame_guard					fire_fox									blaze_raider		
					0.75		flame_guard		flame_guard															
					0.75			flame_guard	flame_guard															
					1.25		flame_guard	flame_guard																
					0.75		flame_guard		flame_guard															
					0.75			flame_guard	flame_guard															blaze_raider
																								
																								
																								
#	WAVE 4																							
#	enemies					flame_guard	blaze_raider	wuxian	fire_phoenix		fire_fox	nine_tailed_fox	burning_treant	ash_spirit										
#	cant.					0	23	0	18		0	0	0	0										
#	gold	1140				0	690	0	450		0	0	0	0										
	wave		4		20																			
					1			blaze_raider																
					3		blaze_raider							fire_phoenix										
					3				blaze_raider			fire_phoenix												
					5			blaze_raider					fire_phoenix											
					2				blaze_raider			fire_phoenix												
					3		blaze_raider							fire_phoenix										
					6								fire_phoenix										blaze_raider	
					2							fire_phoenix		fire_phoenix								blaze_raider		blaze_raider
					6																		blaze_raider	
					2																	blaze_raider		blaze_raider
					6		blaze_raider						fire_phoenix											
					1.5				blaze_raider															
					2			blaze_raider				fire_phoenix												
					2		blaze_raider																	
					1.5				blaze_raider					fire_phoenix										
					3								fire_phoenix											
					3							fire_phoenix		fire_phoenix									blaze_raider	
					3								fire_phoenix									blaze_raider		blaze_raider
					3							fire_phoenix		fire_phoenix									blaze_raider	
					3								fire_phoenix									blaze_raider		blaze_raider
																								
																								
#	WAVE 5																							
#	enemies					flame_guard	blaze_raider	wuxian	fire_phoenix		fire_fox	nine_tailed_fox	burning_treant	ash_spirit										
#	cant.					0	0	3	6		12	0	0	5										
#	gold	835				0	0	180	150		180	0	0	325										
	wave		5		23																			
					1														ash_spirit					
					3																		wuxian	
					3												ash_spirit							
					9								fire_phoenix											
					2.5							fire_phoenix												
					2.5									fire_phoenix										
					4								fire_fox											
					1.25							fire_fox												
					1.25								fire_fox											
					1.25									fire_fox										
					1.25								fire_fox											
					5																			wuxian
					3.5												ash_spirit							
					5														ash_spirit					
					10																	wuxian		
					5													ash_spirit						
					13								fire_phoenix											
					1							fire_phoenix												
					1									fire_phoenix										
					3.5								fire_fox											
					2							fire_fox		fire_fox										
					1.5							fire_fox	fire_fox											
					1								fire_fox	fire_fox										
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
#	WAVE 6																							
#	enemies					flame_guard	blaze_raider	wuxian	fire_phoenix		fire_fox	nine_tailed_fox	burning_treant	ash_spirit										
#	cant.					72	12	2	0		0	0	7	6										
#	gold	1547				432	360	120	0		0	0	245	390										
	wave		6		13																			
					2													ash_spirit						
					4																			burning_treant
					2.5																	wuxian		
					2												ash_spirit							
					7			blaze_raider																
					1.5		flame_guard		flame_guard															
					4			flame_guard																
					1.25			flame_guard																
					0.75		blaze_raider		blaze_raider															
					4.5		flame_guard		flame_guard									ash_spirit						
					0.66		flame_guard		flame_guard													burning_treant		
					1.5			flame_guard																
					1.5		flame_guard		flame_guard															
					0.66		flame_guard		flame_guard															
					0.66		flame_guard	blaze_raider	flame_guard															
					4		flame_guard		flame_guard															
					0.66		flame_guard		flame_guard															
					0.66		flame_guard		flame_guard															
					0.66			blaze_raider																
					4		flame_guard		flame_guard										ash_spirit					
					0.66		flame_guard		flame_guard														burning_treant	
					0.66		flame_guard		flame_guard															
					0.66			blaze_raider																
					4		flame_guard																	
					0.44			flame_guard																
					0.44		flame_guard		flame_guard															
					0.44			flame_guard																
					0.44		flame_guard		flame_guard															
					0.44			flame_guard																
					0.44		flame_guard		flame_guard													burning_treant		
					0.44			flame_guard																
					0.44		flame_guard		flame_guard															
					0.44			flame_guard																
					0.44		flame_guard		flame_guard															wuxian
					0.44			flame_guard																
					0.44		flame_guard		flame_guard															
					0.44			flame_guard																
					0.44		blaze_raider		flame_guard															
					0.44			blaze_raider																
					0.44				blaze_raider															
					5		flame_guard	flame_guard	flame_guard								ash_spirit							
					1.25		flame_guard	flame_guard	flame_guard														burning_treant	
					1.25		flame_guard	flame_guard	flame_guard															
					1.25		flame_guard	flame_guard	flame_guard															
					1.25		flame_guard	flame_guard	flame_guard															burning_treant
					1.25		flame_guard	flame_guard	flame_guard															
					1.25		flame_guard	flame_guard	flame_guard									ash_spirit						
					1.25		flame_guard	flame_guard	flame_guard													burning_treant		
					1.25		blaze_raider	blaze_raider	blaze_raider															
