#	COMANDOS					1					2					3					4			
	column_names				inc	1:*	1:2	1:1	1:3		2:*	2:2	2:1	2:3		3:*	3:2	3:1	3:3		4:*	4:2	4:1	4:3
#	level properties																							
	description	rodri v1																						
	lives	1																						
	gold	2800																						
	gems	150																						
	enemy_prefix	enemy_																						
	default_increment	1																						
	default_interval	20																						
#	expected gold	1200																						
#	stage total gold	5616																						
#	stage gold curve																							
#	WAVE 1																							
#	enemies					flame_guard	blaze_raider	wuxian	fire_phoenix		fire_fox	nine_tailed_fox	burning_treant	ash_spirit										
#	cant.					40	10	0	10		0	0	0	0										
#	gold	790				240	300	0	250		0	0	0	0										
	wave		1		-1																			
					2			blaze_raider															flame_guard	
					1		flame_guard		flame_guard													flame_guard		flame_guard
					2.5																		flame_guard	
					3																		flame_guard	
					1.25		flame_guard		flame_guard													flame_guard		flame_guard
					1			flame_guard															flame_guard	
					1.25		flame_guard		flame_guard													flame_guard		flame_guard
					1			flame_guard															flame_guard	
					1.25		flame_guard		flame_guard													flame_guard		flame_guard
					1			flame_guard															flame_guard	
					1																	flame_guard		flame_guard
					15			blaze_raider										fire_phoenix						
					6		flame_guard		flame_guard								fire_phoenix							
					2		blaze_raider																	
					2				blaze_raider										fire_phoenix					
					8.5			flame_guard									fire_phoenix						flame_guard	
					3		blaze_raider		blaze_raider										fire_phoenix			flame_guard		flame_guard
					2			flame_guard															flame_guard	
					8			blaze_raider										fire_phoenix					flame_guard	
					2.5		blaze_raider										fire_phoenix					flame_guard		
					2				blaze_raider									fire_phoenix						flame_guard
					2.5			blaze_raider											fire_phoenix			flame_guard		
					2													fire_phoenix					flame_guard	
																								
																								
																								
																								
#	WAVE 2																							
#	enemies					flame_guard	blaze_raider	wuxian	fire_phoenix		fire_fox	nine_tailed_fox	burning_treant	ash_spirit										
#	cant.					30	5	0	15		8	0	0	2										
#	gold	825				180	150	0	375		120	0	0	130										
#	wave		2																					
					19													ash_spirit						
					8																		flame_guard	
					1.5																	flame_guard		flame_guard
					1																		flame_guard	
					1.5																	flame_guard		flame_guard
					1																		flame_guard	
					1.5																	flame_guard		flame_guard
					1																		flame_guard	
					12													ash_spirit						
					5																		blaze_raider	
					3.5																	blaze_raider		
					2.5																			blaze_raider
					10			flame_guard															flame_guard	
					1.25		flame_guard		flame_guard													flame_guard		flame_guard
					1			flame_guard															flame_guard	
					1.25		flame_guard		flame_guard													flame_guard		flame_guard
					1			flame_guard															flame_guard	
					1.25		flame_guard		flame_guard													flame_guard		flame_guard
					1			flame_guard															flame_guard	
					4																	blaze_raider		
					3																			blaze_raider
					12								fire_phoenix											
					5								fire_phoenix											
					3							fire_phoenix		fire_phoenix										
					2.5								fire_phoenix											
					2								fire_fox											
					3							fire_phoenix		fire_phoenix										
					2								fire_phoenix											
					2.5							fire_fox												
					3								fire_phoenix											
					2									fire_fox										
					2.5								fire_phoenix											
					2							fire_fox												
					3								fire_phoenix											
					2								fire_fox											
					1.5									fire_phoenix										
					2								fire_phoenix											
					1.5							fire_fox												
					2									fire_fox										
					1.5							fire_phoenix	fire_fox	fire_phoenix										
																								
																								
																								
																								
#	WAVE 3																							
#	enemies					flame_guard	blaze_raider	wuxian	fire_phoenix		fire_fox	nine_tailed_fox	burning_treant	ash_spirit										
#	cant.					6	9	0	16		0	5	0	3										
#	gold	1201				36	270	0	400		0	300	0	195										
#	wave		3																					
					10														nine_tailed_fox					
					6												nine_tailed_fox							
					6													ash_spirit						
					10			blaze_raider											fire_phoenix				flame_guard	
					2																			flame_guard
					2												fire_phoenix					flame_guard		
					4		blaze_raider																	
					3													fire_phoenix					flame_guard	
					2				blaze_raider													flame_guard		
					2																			flame_guard
					10												ash_spirit							
					6														nine_tailed_fox					
					2												fire_phoenix							
					2														fire_phoenix					
					20								ash_spirit											
					8							fire_phoenix												blaze_raider
					3									fire_phoenix										
					8							nine_tailed_fox										blaze_raider		
					7									nine_tailed_fox										
					6							fire_phoenix											blaze_raider	
					5									fire_phoenix										
					4								fire_phoenix											blaze_raider
					3.5							fire_phoenix												
					3									fire_phoenix								blaze_raider		
					3.5								fire_phoenix											
					3							fire_phoenix											blaze_raider	
					3.5									fire_phoenix										
					2.5								fire_phoenix											
																								
																								
#	WAVE 4																							
#	enemies					flame_guard	blaze_raider	wuxian	fire_phoenix		fire_fox	nine_tailed_fox	burning_treant	ash_spirit										
#	cant.					0	0	0	0		0	0	0	0										
#	gold	0				0	0	0	0		0	0	0	0										
#	wave		4																					
