#	COMANDOS							1	Arriba Izq				2	Arriba Der				3	Abajo Izq				4	Abajo derecha				5	Centro izquierda				6	Centro derecha		
	column_names						inc	1:*	1:2	1:1	1:3		2:*	2:2	2:1	2:3		3:*	3:2	3:1	3:3		4:*	4:2	4:1	4:3		5:*	5:2	5:1	5:3		6:*	6:2	6:1	6:3
#	level properties																																			
	description	rodri																																		
	lives	1																																		
	gold	2900																																		
	gems	150																																		
	enemy_prefix	enemy_																																		
	default_increment	1																																		
	default_interval	20																																		
#	expected gold																																			
#	stage total gold	3680																																		
#	stage gold curve																																			
#	WAVE 1																																			
#	enemies							water_spirit	storm_spirit	qiongqi	gale_warrior		water_sorceress	storm_elemental	citizen																					
#	cant.							0	16	0	0		0	0	0			0	0	0	0															
#	gold	320						0	320	0	0		0	0	0			0	0	0	0															
	flags																											n					n			
	wave		1				-1																													
							8													storm_spirit																
							5													storm_spirit																
							5													storm_spirit																
							5													storm_spirit																
							5													storm_spirit																
							6																		storm_spirit											
							5																		storm_spirit											
							5																		storm_spirit											
							5																		storm_spirit											
							5																		storm_spirit											
							12													storm_spirit					storm_spirit											
							9.5													storm_spirit					storm_spirit											
							9													storm_spirit					storm_spirit											
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
#	WAVE 2																																			
#	enemies							water_spirit	gale_warrior	water_spirit	storm_spirit		water_sorceress	storm_elemental	gale_warrior	qiongqi																				
#	cant.							0	0	0	0		0	0	0	2		0	0	0	0															
#	gold	130						0	0	0	0		0	0	0	130		0	0	0	0															
#	wave		2																																	
							12													qiongqi																
							30													qiongqi																
																																				
#	126.5																																			
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
#	WAVE 3																																			
#	enemies							water_spirit	gale_warrior	storm_spirit	storm_spirit		water_sorceress	storm_elemental	gale_warrior	qiongqi																				
#	cant.							0	0	5	5		0	0	0	2		0	0	0	0															
#	gold	330						0	0	100	100		0	0	0	130		0	0	0	0															
#	wave		3																																	
	wait						40																													
	event	ciclone			in																															
	wait						2.5																													
	event	ciclone		0	destroy_houses	TRUE																														
							12.5																							qiongqi						
							40																		storm_spirit											
							6			qiongqi																storm_spirit										
							6																		storm_spirit											
							6																	storm_spirit												
							6																		storm_spirit											
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
#	WAVE 4																																			
#	enemies							water_spirit	gale_warrior	water_spirit	storm_spirit		water_sorceress	storm_elemental	gale_warrior	qiongqi																				
#	cant.							0	0	0	0		0	0	0	0		0	0	0	0															
#	gold	0						0	0	0	0		0	0	0	0		0	0	0	0															
#	wave		4																																	
																																				
#	event	boat																																		
	wait						15																													
																																				
	wait						22																													
	wait						10																													
	wait						10																													
#	302.5																																			
