#	COMANDOS					1					2					3					4					5					6					7					8					9					10					11					12					13			
	column_names				inc	1:*	1:2	1:1	1:3		2:*	2:2	2:1	2:3		3:*	3:2	3:1	3:3		4:*	4:2	4:1	4:3		5:*	5:2	5:1	5:3		6:*	6:2	6:1	6:3		7:*	7:2	7:1	7:3		8:*	8:2	8:1	8:3		9:*	9:2	9:1	9:3		10:*	10:2	10:1	10:3		11:*	11:2	11:1	11:3		12:*	12:2	12:1	12:3		13:*	13:2	13:1	13:3
#	level properties																																																																				
	description	rodri																																																																			
	lives	20																																																																			
	gold	1500																																																																			
	gems	150																																																																			
	enemy_prefix	enemy_																																																																			
	default_increment	1																																																																			
	default_interval	20																																																																			
#	expected gold																																																																				
#	stage total gold	10234																																																																			
#	stage gold curve																																																																				
#	WAVE 1																																																																				
#	enemies					water_spirit	storm_spirit	qiongqi	gale_warrior		water_sorceress	storm_elemental	citizen	fan_guard		palace_guard																																																					
#	cant.					0	0	0	7		0	0	0	0		23																																																					
#	gold	348				0	0	0	210		0	0	0	0		138																																																					
	wave		1		-1																																																																
					1								palace_guard																																																								
					4								palace_guard																																																								
					1.25							palace_guard																																																									
					1.5								gale_warrior	palace_guard																																																							
					3							gale_warrior	palace_guard																																																								
					2									gale_warrior																																																							
					7								palace_guard																									palace_guard																															
					1.25							palace_guard																									palace_guard		palace_guard																														
					1.25								palace_guard	palace_guard																								palace_guard																															
					2							palace_guard																										palace_guard																															
					1									palace_guard																							palace_guard		palace_guard																														
					1																																palace_guard		palace_guard																														
					5								gale_warrior																																																								
					1.5							gale_warrior																																																									
					1.5									gale_warrior																																																							
					10								gale_warrior																																																								
					1.5							palace_guard																																																									
					1.25								palace_guard	palace_guard																																																							
																																																																					
																																																																					
#	47																																																																				
																																																																					
																																																																					
#	WAVE 2																																																																				
#	enemies					water_spirit	storm_spirit	qiongqi	gale_warrior		water_sorceress	storm_elemental	citizen	fan_guard		palace_guard																																																					
#	cant.					0	0	0	9		0	0	0	0		19																																																					
#	gold	384				0	0	0	270		0	0	0	0		114																																																					
	wave		2		22																																																																
					1																												palace_guard																																				
					1.5																												palace_guard																																				
					1.25																											palace_guard		palace_guard																																			
					1.5																											palace_guard		palace_guard																																			
					5																		gale_warrior									palace_guard		palace_guard																																			
					1.25														palace_guard														palace_guard																																				
					1.25												palace_guard																palace_guard																																				
					1													palace_guard														palace_guard		palace_guard																																			
					9																		gale_warrior																																														
					2.5																			gale_warrior																																													
					1.5																	gale_warrior																																															
					10.25														palace_guard																																																		
					1.5												palace_guard																																																				
					3																			gale_warrior																																													
					1.5																	gale_warrior																																															
					8														palace_guard				gale_warrior																																														
					1.5												palace_guard							gale_warrior																																													
					1.5																	gale_warrior																																															
																																																																					
																																																																					
#	54																																																																				
																																																																					
																																																																					
																																																																					
#	WAVE 3																																																																				
#	enemies					water_spirit	storm_spirit	qiongqi	gale_warrior		water_sorceress	storm_elemental	citizen	fan_guard		palace_guard																																																					
#	cant.					0	0	0	9		1	0	0	0		0																																																					
#	gold	450				0	0	0	270		35	0	0	0		0																																																					
	wave		3		35																																																																
	event	fuente_remolino_start	1																																																																		
					1								gale_warrior																																																								
	call_manual_wave	water_spawner_p12																																																																			
					3							gale_warrior																																																									
					2.5									gale_warrior																																																							
					6							gale_warrior																																																									
					2									gale_warrior																																																							
					2.5							gale_warrior																																																									
	wait				3																																																																
	event	fuente_remolino_end	1																																																																		
	wait				6.5																																																																
	event	fuente_remolino_start	4																																																																		
					3			water_sorceress																																																													
	call_manual_wave	water_spawner_p9																																																																			
																																																																					
	wait				10																																																																
					3								gale_warrior																																																								
	event	fuente_remolino_start	1																																																																		
					2.5							gale_warrior																																																									
					1.5									gale_warrior																																																							
	event	fuente_remolino_end	4																																																																		
	call_manual_wave	water_spawner_p12																																																																			
																																																																					
#	46.5																																																																				
																																																																					
																																																																					
																																																																					
																																																																					
																																																																					
																																																																					
																																																																					
																																																																					
																																																																					
																																																																					
#	WAVE 4																																																																				
#	enemies					water_spirit	storm_spirit	qiongqi	gale_warrior		water_sorceress	storm_elemental	citizen	fan_guard		palace_guard																																																					
#	cant.					0	11	0	0		0	0	0	0		20																																																					
#	gold	440				0	220	0	0		0	0	0	0		120																																																					
	wave		4		35																																																																
					1			storm_spirit																																																													
					4		storm_spirit																										palace_guard																																				
	event	fuente_remolino_end	1																																																																		
					2																											palace_guard		palace_guard																																			
																																																																					
					3.5				storm_spirit																																																												
					1.5																												palace_guard																																				
					1.5																											palace_guard		palace_guard																																			
																																																																					
					3			storm_spirit																																																													
					2.5																												palace_guard																																				
					1.5																											palace_guard		palace_guard																																			
					1.5		storm_spirit																																																														
					5																												palace_guard																																				
					1.5																												palace_guard																																				
					1.5																											palace_guard																																					
					1.5				storm_spirit																							palace_guard																																					
					1.5																													palace_guard																																			
					1.5																													palace_guard																																			
					4			storm_spirit																									palace_guard																																				
					1																											palace_guard		palace_guard																																			
					1																											palace_guard		palace_guard																																			
					3		storm_spirit																																																														
					3.5				storm_spirit																																																												
					3			storm_spirit																																																													
					3		storm_spirit																																																														
																																																																					
																																																																					
#	53																																																																				
#	WAVE 5																																																																				
#	enemies					water_spirit	storm_spirit	qiongqi	gale_warrior		water_sorceress	storm_elemental	citizen	fan_guard		palace_guard																																																					
#	cant.					0	0	0	8		0	1	0	0		27																																																					
#	gold	502				0	0	0	240		0	100	0	0		162																																																					
	wave		5		15																																																																
					1.5																																					palace_guard		palace_guard																									
					1.5																																					palace_guard		palace_guard																									
					1.25																																					palace_guard		palace_guard																									
					1								storm_elemental																													palace_guard		palace_guard																									
					3																																					palace_guard		palace_guard																									
					1.5																																					palace_guard		palace_guard																									
					1.25																																					palace_guard		palace_guard																									
					1																																					palace_guard		palace_guard																									
					7																		gale_warrior																																														
					1.5																			palace_guard																																													
					1.5																	palace_guard		palace_guard																																													
					1.5																	palace_guard																																															
					7							gale_warrior											gale_warrior																																														
					1.25									gale_warrior										palace_guard																																													
					1.25																	palace_guard																																															
					3.5																			gale_warrior																																													
					1.5																	gale_warrior																																															
					6.5							gale_warrior											palace_guard																																														
					1.5									gale_warrior										palace_guard																																													
					1.5																	palace_guard		palace_guard																																													
					1.5																	palace_guard																																															
																																																																					
																																																																					
#	49																																																																				
																																																																					
																																																																					
																																																																					
																																																																					
																																																																					
																																																																					
																																																																					
#	WAVE 6																																																																				
#	enemies					water_spirit	storm_spirit	qiongqi	gale_warrior		water_sorceress	storm_elemental	palace_guard	fan_guard																																																							
#	cant.					0	0	0	0		0	0	36	5																																																							
#	gold	591				0	0	0	0		0	0	216	225																																																							
	wave		6		30																																																																
					1								fan_guard																																																								
					8																								palace_guard																																								
					0.75																							palace_guard																																									
					0.75																						palace_guard		palace_guard																																								
					0.75																							palace_guard																																									
					0.75																						palace_guard		palace_guard																																								
					0.75																							palace_guard																																									
					0.75																						palace_guard																																										
					7							fan_guard											palace_guard	palace_guard																																													
					1.5																	palace_guard		palace_guard																																													
					1.5									fan_guard								palace_guard		palace_guard																																													
					1.5																	palace_guard		palace_guard																																													
					1.5																	palace_guard		palace_guard																																													
					1.5																	palace_guard																																															
					1																		palace_guard																																														
					6.5							fan_guard																	palace_guard																																								
					0.75																							palace_guard																																									
					0.75																						palace_guard		palace_guard																																								
					0.75																							palace_guard																																									
					0.75									fan_guard													palace_guard		palace_guard																																								
					0.75																							palace_guard																																									
					0.75																						palace_guard																																										
					3.5																			palace_guard																																													
					1.5																	palace_guard		palace_guard																																													
					1.5																	palace_guard		palace_guard																																													
					1.5																	palace_guard																																															
																																																																					
#	48																																																																				
																																																																					
																																																																					
																																																																					
#	WAVE 7																																																																				
