#	COMANDOS					1					2					3					4					5					6					7					8					9					10					11					12					13			
	column_names				inc	1:*	1:2	1:1	1:3		2:*	2:2	2:1	2:3		3:*	3:2	3:1	3:3		4:*	4:2	4:1	4:3		5:*	5:2	5:1	5:3		6:*	6:2	6:1	6:3		7:*	7:2	7:1	7:3		8:*	8:2	8:1	8:3		9:*	9:2	9:1	9:3		10:*	10:2	10:1	10:3		11:*	11:2	11:1	11:3		12:*	12:2	12:1	12:3		13:*	13:2	13:1	13:3
#	level properties																																																																				
	description	rodri																																																																			
	lives	1																																																																			
	gold	1100																																																																			
	gems	150																																																																			
	enemy_prefix	enemy_																																																																			
	default_increment	1																																																																			
	default_interval	20																																																																			
#	expected gold																																																																				
#	stage total gold	4229																																																																			
#	stage gold curve																																																																				
#	WAVE 1																																																																				
#	enemies					water_spirit	storm_spirit	qiongqi	gale_warrior		water_sorceress	storm_elemental	citizen	fan_guard		palace_guard																																																					
#	cant.					0	0	0	8		0	0	0	0		28																																																					
#	gold	408				0	0	0	240		0	0	0	0		168																																																					
	wave		1		-1																																																																
					1.25			gale_warrior																													palace_guard		palace_guard																														
					0.75				gale_warrior																								palace_guard																																				
					1.25		gale_warrior																														palace_guard		palace_guard																														
					0.75																												palace_guard																																				
					7																																palace_guard		palace_guard																														
					0.75																												palace_guard																																				
					1.25																																palace_guard		palace_guard																														
					0.75																												palace_guard																																				
					1.25																																palace_guard		palace_guard																														
					0.75																												palace_guard																																				
					6																																	palace_guard																															
					0.75																											palace_guard		palace_guard																																			
					1.25																																	palace_guard																															
					0.75																											palace_guard		palace_guard																																			
					6																																	palace_guard																															
					0.75				gale_warrior																							palace_guard		palace_guard																																			
					1.25		gale_warrior																															palace_guard																															
					0.75																											palace_guard		palace_guard																																			
					1.25																																	palace_guard																															
					3			gale_warrior																																																													
					1.25				gale_warrior																																																												
					1.25		gale_warrior																																																														
																																																																					
																																																																					
#	40																																																																				
#	WAVE 2																																																																				
#	enemies					water_spirit	storm_spirit	qiongqi	gale_warrior		water_sorceress	storm_elemental	citizen	fan_guard		palace_guard																																																					
#	cant.					0	0	0	0		0	0	0	5		19																																																					
#	gold	404				0	0	0	0		0	0	0	225		114																																																					
	wave		2		30																																																																
					1																												fan_guard																																				
					3.5																																					fan_guard		fan_guard																									
					10		palace_guard		palace_guard																																																												
					1.5		palace_guard		palace_guard																																																												
					1.5		palace_guard		palace_guard																																																												
					1.5		palace_guard		palace_guard																																																												
					1.5		palace_guard		palace_guard																																																												
	wait				7																																																																
	event	fuente_remolino_start	1																																																																		
	wait				3																																																																
	call_manual_wave	water_spawner_w2																																																																			
					3																											fan_guard																																					
					7																																						fan_guard																										
	wait				3																																																																
					2.5			palace_guard																																																													
	event	fuente_remolino_end	1																																																																		
					2.5			palace_guard																																																													
					2.25			palace_guard																																																													
					2.25			palace_guard																																																													
	wait				2																																																																
					2			palace_guard																																																													
					1.75			palace_guard																																																													
					1.75			palace_guard																																																													
	event	fuente_remolino_start	1																																																																		
					1.5			palace_guard																																																													
					1.5			palace_guard																																																													
#	63.5																																																																				
#	WAVE 3																																																																				
#	enemies					water_spirit	storm_spirit	qiongqi	gale_warrior		water_sorceress	storm_elemental	citizen	fan_guard		palace_guard																																																					
#	cant.					0	9	0	8		0	0	0	0		12																																																					
#	gold	492				0	180	0	240		0	0	0	0		72																																																					
	wave		3		40																																																																
					1																			gale_warrior																																													
					1.5																	gale_warrior																																															
	event	fuente_remolino_end	1																																																																		
					3								storm_spirit																																																								
					4									storm_spirit																																																							
					4.5							storm_spirit																																																									
					4								storm_spirit																																																								
					1.5																			gale_warrior																																													
					1.5																	gale_warrior																																															
					13																																							palace_guard																									
					0.75																																						palace_guard																										
					0.75																																					palace_guard		palace_guard																									
					0.75																																						palace_guard																										
					0.75																																					palace_guard		palace_guard																									
					0.75																																						palace_guard																										
					0.75																																					palace_guard		palace_guard																									
					0.75																																						palace_guard																										
					0.75																																					palace_guard																											
					3								storm_spirit																																																								
					4.5							storm_spirit																																																									
					4								storm_spirit																																																								
					4.5									storm_spirit																																																							
					3.5								storm_spirit										gale_warrior																																														
					2																			gale_warrior																																													
					1.5																	gale_warrior																																															
					2																		gale_warrior																																														
																																																																					
#	65																																																																				
																																																																					
																																																																					
																																																																					
																																																																					
																																																																					
																																																																					
#	WAVE 4																																																																				
#	enemies					water_spirit	storm_spirit	qiongqi	gale_warrior		water_sorceress	storm_elemental	citizen	fan_guard		palace_guard																																																					
#	cant.					0	10	0	0		0	0	0	6		0																																																					
#	gold	525				0	200	0	0		0	0	0	270		0																																																					
	wave		4		35																																																																
					1																																							fan_guard																									
					5																																fan_guard																																
					4																																					fan_guard																											
					5									storm_spirit																									fan_guard																														
					3.5							storm_spirit																																																									
					4								storm_spirit																																																								
					3.5									storm_spirit																																																							
					1.5							storm_spirit																																																									
	wait				2.5																																																																
	event	fuente_remolino_start	5																																																																		
	wait				2.5																																																																
	call_manual_wave	water_spawner_w4																																																																			
					3																																					fan_guard		fan_guard																									
	wait				5																																																																
	event	fuente_remolino_end	5																																																																		
					3																																																																
					3							storm_spirit																																																									
					3.5									storm_spirit																																																							
	event	fuente_remolino_start	5																																																																		
					3							storm_spirit																																																									
					2									storm_spirit																																																							
					2							storm_spirit																																																									
																																																																					
																																																																					
																																																																					
#	57																																																																				
																																																																					
																																																																					
																																																																					
																																																																					
#	WAVE 5																																																																				
#	enemies					water_spirit	storm_spirit	qiongqi	gale_warrior		water_sorceress	storm_elemental	citizen	fan_guard		palace_guard																																																					
#	cant.					0	0	0	13		3	0	0	0		0																																																					
#	gold	575				0	0	0	390		105	0	0	0		0																																																					
	wave		5		35																																																																
	event	fuente_remolino_end	5																																																																		
	event	fuente_remolino_start	1																																																																		
					1																			gale_warrior																																													
					1.5																	gale_warrior																																															
	call_manual_wave	water_spawner_w5																																																																			
					5																		gale_warrior															water_sorceress																															
					6																			gale_warrior																																													
					1.5																	gale_warrior																																															
					5																			gale_warrior																																													
					1.5																	gale_warrior																																															
					6																												water_sorceress																																				
					11			gale_warrior																																																													
					2.5				gale_warrior																																																												
	event	fuente_remolino_end	1																																																																		
					1.25		gale_warrior																																																														
					2																													water_sorceress																																			
																																																																					
					10			gale_warrior																																																													
					2				gale_warrior																																																												
					1.25		gale_warrior																																																														
																																																																					
																																																																					
#	57.5																																																																				
																																																																					
																																																																					
																																																																					
																																																																					
																																																																					
																																																																					
																																																																					
																																																																					
#	WAVE 6																																																																				
#	enemies					water_spirit	storm_spirit	qiongqi	gale_warrior		water_sorceress	storm_elemental	palace_guard	fan_guard																																																							
#	cant.					0	0	1	8		3	0	0	7																																																							
#	gold	725				0	0	65	240		105	0	0	315																																																							
	wave		6		35																																																																
					1								qiongqi																														water_sorceress																										
					5							fan_guard																																																									
					1.25									fan_guard																																																							
					12																																fan_guard		fan_guard																														
					3																												water_sorceress																																				
					4				fan_guard																																																												
					1.5		fan_guard																																																														
					11																		gale_warrior																																														
					5																		gale_warrior																																														
					10																												water_sorceress																																				
					2			fan_guard											gale_warrior				gale_warrior																																														
					1.5												gale_warrior																																																				
					3														gale_warrior				gale_warrior																																														
					1.5												gale_warrior																																																				
																																																																					
																																																																					
#	61.75																																																																				
																																																																					
																																																																					
																																																																					
																																																																					
																																																																					
																																																																					
																																																																					
																																																																					
																																																																					
#	MANUAL WAVES																																																																				
																																																																					
	manual_wave	water_spawner_w2																																																																			
					1																																																										water_spirit_spawnless						
	wait				2																																																																
					2.25																																																										water_spirit_spawnless						
					2.25																																																										water_spirit_spawnless						
	wait				2																																																																
					2																																																										water_spirit_spawnless						
					1.75																																																										water_spirit_spawnless						
