#	COMANDOS					1	izq				2	medio izq				3	medio der				4	der				5	Spawn bull left				6	Spawn bull right				7	Spawn fire portal				8	Spawn water portal				9	Spawn left island 8				10	Spawn left exit 3				11	Spawn right center 6		
	column_names				inc	1:*	1:2	1:1	1:3		2:*	2:2	2:1	2:3		3:*	3:2	3:1	3:3		4:*	4:2	4:1	4:3		5:*	5:2	5:1	5:3		6:*	6:2	6:1	6:3		7:*	7:2	7:1	7:3		8:*	8:2	8:1	8:3		9:*	9:2	9:1	9:3		10:*	10:2	10:1	10:3		11:*	11:2	11:1	11:3
#	level properties																																																										
	description	rodri																																																									
	lives	1																																																									
	gold	3200																																																									
	gems	150																																																									
	enemy_prefix	enemy_																																																									
	default_increment	1																																																									
	default_interval	20																																																									
#	expected gold																																																										
#	stage total gold	6290																																																									
#	stage gold curve																																																										
#	WAVE 1																																																										
#	enemies					flame_guard	blaze_raider	fire_fox	wuxian		nine_tailed_fox	golden_eyed	doom_bringer	hellfire_warlock		demon_minotaur	fire_phoenix	water_spirit_spawnless*	water_sorceress		qiongqi																																						
#	cant.					0	12	0	0		2	0	0	0		0	0	20	2		1																																						
#	gold	715				0	360	0	0		120	0	0	0		0	0	100	70		65																																						
	flags																									n					n					n					n																		
	wave		1		-1																																																						
					1							blaze_raider		blaze_raider																																													
					4							blaze_raider		blaze_raider																																													
					3							blaze_raider		blaze_raider																																													
					2							blaze_raider		blaze_raider																																													
					8.5																		qiongqi																																				
	event	portal_right																																																									
					3																																						water_spirit_spawnless																
					2																																					water_spirit_spawnless	water_spirit_spawnless																
					1.75																																					water_spirit_spawnless		water_spirit_spawnless															
					1.5																																						water_spirit_spawnless	water_spirit_spawnless															
					1.25																																						water_spirit_spawnless																
					10							blaze_raider		blaze_raider																												water_spirit_spawnless		water_spirit_spawnless															
					3							blaze_raider		blaze_raider																												water_spirit_spawnless		water_spirit_spawnless															
					2																																					water_spirit_spawnless		water_spirit_spawnless															
					2																																						water_sorceress																
	wait				2																																																						
	event	portal_right_close																																																									
					5		nine_tailed_fox																																																				
					5				nine_tailed_fox									water_sorceress																																									
					2.5												water_spirit_spawnless		water_spirit_spawnless																																								
					2												water_spirit_spawnless		water_spirit_spawnless																																								
					1.5												water_spirit_spawnless		water_spirit_spawnless																																								
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
#	63																																																										
#	WAVE 2																																																										
#	enemies					flame_guard	blaze_raider	fire_fox	wuxian		nine_tailed_fox	golden_eyed	doom_bringer	hellfire_warlock		demon_minotaur	fire_phoenix	water_spirit_spawnless	water_sorceress		qiongqi																																						
#	cant.					0	2	19	0		3	0	0	0		0	6	0	2		0																																						
#	gold	675				0	60	285	0		180	0	0	0		0	150	#N/A	70		0																																						
	wave		2		35																																																						
					1																		fire_fox																																				
					0.85																		fire_fox	fire_fox																																			
					1																	fire_fox		fire_fox																																			
					1.25																	fire_fox	fire_fox																																				
					0.85																		fire_fox																																				
					5																		nine_tailed_fox																																				
	wait				3																																																						
	event	portal_left																																																									
					2																																	fire_phoenix																					
					0.85																																	fire_fox																					
	event	portal_right																																																									
					1																																fire_phoenix		fire_phoenix				water_sorceress																
					1.25																																	fire_fox																					
					0.85																																	fire_fox																					
	event	portal_right_close																																																									
	wait				2																																																						
	event	portal_left_close																																																									
					4									blaze_raider									fire_phoenix																																				
					2							blaze_raider										fire_phoenix		fire_phoenix																																			
					5								water_sorceress									fire_fox		fire_fox																																			
					1																		fire_fox																																				
					1.5																	fire_fox		fire_fox																																			
					8		nine_tailed_fox																																																				
					6				nine_tailed_fox																																																		
					4																			fire_fox																																			
					1.5																		fire_fox																																				
					1.5																	fire_fox																																					
																																																											
																																																											
																																																											
#	55.4																																																										
#	WAVE 3																																																										
#	enemies					flame_guard	blaze_raider	fire_fox	wuxian		nine_tailed_fox	golden_eyed	doom_bringer	hellfire_warlock		demon_minotaur	fire_phoenix	water_spirit_spawnless	water_sorceress		qiongqi																																						
#	cant.					0	8	0	0		3	0	4	0		0	0	8	2		0																																						
#	gold	600				0	240	0	0		180	0	180	0		0	0	40	70		0																																						
	wave		3		30																																																						
					1								doom_bringer																																														
					3							blaze_raider		blaze_raider																																													
					3							blaze_raider		blaze_raider																																													
					5							doom_bringer																																															
					5									doom_bringer																																													
	wait				4																																																						
	event	portal_left																																																									
					1																																	nine_tailed_fox																					
					12													doom_bringer																																									
					5													water_sorceress																																									
	event	portal_right																																																									
					2			nine_tailed_fox																																		water_spirit_spawnless		water_spirit_spawnless															
					1																																						water_spirit_spawnless																
					1																																					water_spirit_spawnless		water_spirit_spawnless															
					1																																						water_spirit_spawnless																
					1																																					water_spirit_spawnless		water_spirit_spawnless															
	wait				2																																																						
	event	portal_right_close																																																									
					4							blaze_raider		blaze_raider																								nine_tailed_fox																					
					3							blaze_raider		blaze_raider																																													
	event	portal_left_close																																																									
					3.5								water_sorceress																																														
#	57.5																																																										
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
#	WAVE 4																																																										
#	enemies					flame_guard	blaze_raider	fire_fox	wuxian		nine_tailed_fox	golden_eyed	doom_bringer	hellfire_warlock		demon_minotaur	fire_phoenix	water_spirit_spawnless	water_sorceress		qiongqi																																						
#	cant.					0	2	6	0		1	0	2	5		0	6	0	0		0																																						
#	gold	700				0	60	90	0		60	0	90	250		0	150	0	0		0																																						
	wave		4		25																																																						
					1							blaze_raider		blaze_raider																																													
					2								doom_bringer																																														
					3								hellfire_warlock																																														
					12												fire_phoenix																																										
					1.5													fire_phoenix																																									
					1.5														fire_phoenix																																								
					5												hellfire_warlock																																										
					3														hellfire_warlock																																								
					5.5													fire_phoenix																																									
					1																	fire_phoenix		fire_phoenix																																			
					2													fire_fox																																									
					1																	fire_fox		fire_fox																																			
					1													fire_fox																																									
					0.5																	fire_fox		fire_fox																																			
					13		nine_tailed_fox																																																				
					4								doom_bringer																																														
					4							hellfire_warlock																																															
					3									hellfire_warlock																																													
																																																											
																																																											
#	64																																																										
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
#	WAVE 5																																																										
#	enemies					flame_guard	blaze_raider	fire_fox	wuxian		nine_tailed_fox	golden_eyed	doom_bringer	hellfire_warlock		demon_minotaur	fire_phoenix	water_spirit_spawnless	water_sorceress		qiongqi																																						
#	cant.					0	0	13	1		0	0	2	0		3	3	0	0		0																																						
#	gold	630				0	0	195	60		0	0	90	0		210	75	0	0		0																																						
	wave		5		30																																																						
					0								demon_minotaur																																														
	wait				4																																																						
	event	portal_left																																																									
					1																																	fire_phoenix																					
					0.85																																fire_phoenix		fire_phoenix																				
					3																																	fire_fox																					
					0.85																																fire_fox		fire_fox																				
					0.85																																fire_fox		fire_fox																				
					0.85																																fire_fox		fire_fox																				
	wait				1.5																																																						
	event	portal_left_close																																																									
					4.5												fire_fox							fire_fox																																			
					1												fire_fox							fire_fox																																			
					1												fire_fox							fire_fox																																			
					3																		demon_minotaur																																				
					10							doom_bringer																																															
					2									doom_bringer																																													
					2								wuxian																																														
					5			demon_minotaur																																																			
																																																											
																																																											
#	41.4																																																										
																																																											
																																																											
																																																											
																																																											
#	WAVE 6																																																										
#	enemies					flame_guard	blaze_raider	fire_fox	wuxian		nine_tailed_fox	golden_eyed	doom_bringer	hellfire_warlock		demon_minotaur		water_spirit_spawnless	water_sorceress		qiongqi																																						
#	cant.					0	0	0	1		2	1	3	0		1		13	0		1																																						
#	gold	485				0	0	0	60		120	100	135	0		70		65	0		65																																						
	wave		6		17																																																						
					1				wuxian																																																		
