#	COMANDOS					1	Por abajo salida 1				2	Por abajo salida 2				3	Por arriba salida 1				4	Por arriba salida 2
	column_names				inc	1:*	1:2	1:1	1:3		2:*	2:2	2:1	2:3		3:*	3:2	3:1	3:3		4:*	4:2	4:1	4:3
#	level properties
	description	rodri
	lives	20
	gold	500
	gems	150
	enemy_prefix	enemy_
	default_increment	1
	default_interval	20
#	expected gold
#	stage total gold	6610
#	stage gold curve
#	WAVE 1
#	enemies					basic_lava	evolved_lava	alfa_lava	basic_acid		evolved_acid	alfa_acid	basic_shadow	evolved_shadow		alfa_shadow	basic_storm	evolved_storm	alfa_storm		tanky_draconian
#	cant.					20	0	0	0		0	0	0	0		0	0	0	0		0
#	gold	160				160	0	0	0		0	0	0	0		0	0	0	0		0
	wave		1		-1
					0.1			basic_lava
					4		basic_lava		basic_lava
					2		basic_lava		basic_lava
					6			basic_lava
					2		basic_lava		basic_lava
					6			basic_lava
					1.5		basic_lava		basic_lava
					2		basic_lava
					1.5				basic_lava
					2.5		basic_lava
					1.5			basic_lava
					6		basic_lava		basic_lava
					2			basic_lava
					1.4		basic_lava		basic_lava


#	38.5
#	WAVE 2
#	enemies					basic_lava	evolved_lava	alfa_lava	basic_acid		evolved_acid	alfa_acid	basic_shadow	evolved_shadow		alfa_shadow	basic_storm	evolved_storm	alfa_storm		tanky_draconian
#	cant.					8	0	0	14		0	0	0	0		0	0	0	0		0
#	gold	162				64	0	0	98		0	0	0	0		0	0	0	0		0
	wave		2		13
					0.1			basic_acid
					4		basic_acid
					1				basic_acid
					2.5		basic_acid
					1				basic_acid
					6			basic_lava
					1		basic_lava
					0.5				basic_lava
					0.8				basic_lava
					0.7		basic_lava
					1.5		basic_lava		basic_lava
					1.5			basic_lava
					4		basic_acid		basic_acid
					1				basic_acid
					5		basic_acid
					3			basic_acid
					1		basic_acid		basic_acid
					1		basic_acid		basic_acid

	wait_signal	all_enemies_died			-1
	event	show_path	2
#	35.6


#	WAVE 3
#	enemies					basic_lava	evolved_lava	alfa_lava	basic_acid		evolved_acid	alfa_acid	basic_shadow	evolved_shadow		alfa_shadow	basic_storm	evolved_storm	alfa_storm		tanky_draconian
#	cant.					11	0	0	0		0	0	0	0		0	11	0	0		0
#	gold	253				88	0	0	0		0	0	0	0		0	165	0	0		0
	wave		3		10

					0.1								basic_storm
					2							basic_storm
					2									basic_storm
					2								basic_storm

					4		basic_lava		basic_lava
					2.25				basic_lava
					2.25		basic_lava
					4			basic_lava				basic_storm
					1.5									basic_storm
					2		basic_lava		basic_lava			basic_storm
					3									basic_storm

					4		basic_lava		basic_lava				basic_storm
					2		basic_lava							basic_storm
					2				basic_lava			basic_storm

#	33.1
#	WAVE 4
#	enemies					basic_lava	evolved_lava	alfa_lava	basic_acid		evolved_acid	alfa_acid	basic_shadow	evolved_shadow		alfa_shadow	basic_storm	evolved_storm	alfa_storm		tanky_draconian
#	cant.					7	0	0	0		0	0	0	0		0	0	0	0		10
