#	COMANDOS					1	arriba/arriba				2	abajo/abajo				3	medio arriba				4	medio abajo
	column_names				inc	1:*	1:2	1:1	1:3		2:*	2:2	2:1	2:3		3:*	3:2	3:1	3:3		4:*	4:2	4:1	4:3
#	level properties
	description	gerson
	lives	20
	gold	900
	gems	150
	enemy_prefix	enemy_
	default_increment	1
	default_interval	20
#	expected gold
#	stage total gold	6540
#	stage gold curve
#	WAVE 1
#	enemies					basic_lava	evolved_lava	alfa_lava	basic_acid		evolved_acid	alfa_acid	basic_shadow	evolved_shadow		alfa_shadow	basic_storm	evolved_storm	alfa_storm		tanky_draconian
#	cant.					17	0	0	0		0	0	0	0		0	0	0	0		4
#	gold	256				136	0	0	0		0	0	0	0		0	0	0	0		120
	wave		1		-1
					1								tanky_draconian
					4							basic_lava		basic_lava
					1									basic_lava
					1							basic_lava
					6.5								tanky_draconian
					1.75							basic_lava		basic_lava
					1.75							basic_lava
					7								tanky_draconian
					1.5							basic_lava		basic_lava
					2.25									basic_lava
					0.75							basic_lava
					1.5							basic_lava
					6.5							basic_lava	tanky_draconian	basic_lava
					1.5							basic_lava		basic_lava
					1									basic_lava


#	39
#	WAVE 2
#	enemies					basic_lava	evolved_lava	alfa_lava	basic_acid		evolved_acid	alfa_acid	basic_shadow	evolved_shadow		alfa_shadow	basic_storm	evolved_storm	alfa_storm		tanky_draconian
#	cant.					8	0	0	11		0	0	0	0		0	0	0	0		6
#	gold	321				64	0	0	77		0	0	0	0		0	0	0	0		180
	wave		2		12
					1			basic_acid
					2		basic_acid
					1.75				basic_acid
					4								tanky_draconian
					3									basic_lava
					1							basic_lava
	event	block_tower	8,7,6	10
					1							basic_lava		basic_lava
					8		basic_acid		basic_acid			tanky_draconian		tanky_draconian
					3			basic_acid					tanky_draconian
					4		basic_acid
	event	block_tower	8,7,6	10
					1				basic_acid					basic_lava
					1							basic_lava
					2.5		basic_acid		basic_acid				tanky_draconian
					1.75			basic_acid				basic_lava		basic_lava
					3							tanky_draconian





#	38




#	WAVE 3
#	enemies					basic_lava	evolved_lava	alfa_lava	basic_acid		evolved_acid	alfa_acid	basic_shadow	evolved_shadow		alfa_shadow	basic_storm	evolved_storm	alfa_storm		tanky_draconian
#	cant.					0	0	0	17		0	1	0	0		0	0	0	0		0
#	gold	209				0	0	0	119		0	90	0	0		0	0	0	0		0
	wave		3		25
					1		basic_acid		basic_acid
					1.5			basic_acid
					3			alfa_acid
					10		basic_acid		basic_acid
	event	block_tower	8,7,6	10
					2			basic_acid
					8		basic_acid		basic_acid
					1			basic_acid
					1.5				basic_acid
					0.78		basic_acid
					2.5				basic_acid
					7			basic_acid
					1.5		basic_acid
					1.2				basic_acid
					1.77		basic_acid
					1.2			basic_acid
#	43.95
#	WAVE 4
#	enemies					basic_lava	evolved_lava	alfa_lava	basic_acid		evolved_acid	alfa_acid	basic_shadow	evolved_shadow		alfa_shadow	basic_storm	evolved_storm	alfa_storm		tanky_draconian
#	cant.					16	0	1	0		0	0	0	0		0	0	0	0		0
#	gold	208				128	0	80	0		0	0	0	0		0	0	0	0		0
