#	COMANDOS						1	arriba/arriba				2	medio arriba				3	medio/abajo				4	corto / abajo		
	column_names					inc	1:*	1:2	1:1	1:3		2:*	2:2	2:1	2:3		3:*	3:2	3:1	3:3		4:*	4:2	4:1	4:3
#	level properties																								
	description	rodri																							
	lives	20																							
	gold	1000																							
	gems	150																							
	enemy_prefix	enemy_																							
	default_increment	1																							
	default_interval	20																							
#	expected gold																								
#	stage total gold	7257																							
#	stage gold curve																								
#	WAVE 1																								
#	enemies						basic_lava	evolved_lava	alfa_lava	basic_acid		evolved_acid	alfa_acid	basic_shadow	evolved_shadow		alfa_shadow	basic_storm	evolved_storm	alfa_storm		tanky_draconian			
#	cant.						7	0	0	13		0	0	0	0		0	0	0	0		6			
#	gold	327					56	0	0	91		0	0	0	0		0	0	0	0		180			
	wave		1			-1																			
																									
	event	warden	down																						
						6													basic_lava						
						2												basic_lava		basic_lava					
						2													basic_lava						
						2														basic_lava					
						1.5												basic_lava	basic_lava						
						2				basic_acid															
						1		basic_acid																	
						1			basic_acid																
						1.75		basic_acid																	
						1				basic_acid									tanky_draconian						
						1.75		basic_acid												tanky_draconian					
						1.5			basic_acid									tanky_draconian							
						8.25				basic_acid								tanky_draconian							
						1.5				basic_acid									tanky_draconian						
						1.75		basic_acid												tanky_draconian					
						3			basic_acid																
						1.5				basic_acid															
						1		basic_acid																	
																									
#	40.5																								
#	WAVE 2																								
#	enemies						basic_lava	evolved_lava	alfa_lava	basic_acid		evolved_acid	alfa_acid	basic_shadow	evolved_shadow		alfa_shadow	basic_storm	evolved_storm	alfa_storm		tanky_draconian			
#	cant.						14	0	0	8		0	1	0	0		0	0	0	0		0			
#	gold	258					112	0	0	56		0	90	0	0		0	0	0	0		0			
	wave		2			23																			
#	event	warden	up																						
																									
						1			alfa_acid																
						4												basic_lava							
						2														basic_lava					
						3													basic_lava						
	event	warden	down																						
						2.5												basic_lava		basic_lava					
						0.75														basic_lava					
						1.25												basic_lava							
						8			basic_acid																
						1				basic_acid															
						2.75		basic_acid		basic_acid															
						1.75			basic_acid																
						1				basic_acid															
						1.25		basic_acid																	
						1			basic_acid																
						11												basic_lava							
						2														basic_lava					
						1.25													basic_lava						
						2.5												basic_lava							
						1.2													basic_lava						
						0.8												basic_lava		basic_lava					
#	50																								
																									
																									
																									
																									
#	WAVE 3																								
#	enemies						basic_lava	evolved_lava	alfa_lava	basic_acid		evolved_acid	alfa_acid	basic_shadow	evolved_shadow		alfa_shadow	basic_storm	evolved_storm	alfa_storm		tanky_draconian			
#	cant.						7	0	1	0		0	0	0	0		0	12	0	0		4			
#	gold	436					56	0	80	0		0	0	0	0		0	180	0	0		120			
	wave		3			28																			
#	event	warden	up																						
#	event	warden	down																						
						1							basic_lava												
						1.78								alfa_lava											
						2.25												tanky_draconian							
						1.5								basic_lava											
						2								basic_lava											
						8				basic_storm															
						1.5		basic_storm												tanky_draconian					
						1.77			basic_storm																
						1.7		basic_storm		basic_storm															
						1.5			basic_storm																
						8							basic_lava		basic_lava										
						1.5												tanky_draconian							
						3								basic_lava						tanky_draconian					
						1.5		basic_storm																	
						2			basic_storm					basic_lava											
						1.5		basic_storm		basic_storm															
						1.3			basic_storm																
						1.88				basic_storm															
																									
																									
#	43.68																								
#	WAVE 4																								
#	enemies						basic_lava	evolved_lava	alfa_lava	basic_acid		evolved_acid	alfa_acid	basic_shadow	evolved_shadow		alfa_shadow	basic_storm	evolved_storm	alfa_storm		tanky_draconian			
#	cant.						0	0	0	15		0	0	11	0		0	0	0	0		0			
#	gold	215					0	0	0	105		0	0	110	0		0	0	0	0		0			
	wave		4			26																			
#	event	warden	up																						
						1								basic_shadow											
						5									basic_shadow										
						2								basic_shadow											
						2							basic_shadow												
						6			basic_acid																
	event	warden	down																						
						1.5		basic_acid																	
						1.33				basic_acid															
						1			basic_acid																
						6									basic_shadow										
						1.5								basic_shadow											
						1.33							basic_shadow												
						3							basic_shadow												
						1.2								basic_shadow											
						0.9									basic_shadow										
						1							basic_shadow												
						5		basic_acid		basic_acid															
						1.7			basic_acid																
						1				basic_acid															
						1		basic_acid		basic_acid															
						0.77		basic_acid																	
						2.5			basic_acid																
						1.5				basic_acid															
						1.5		basic_acid																	
						1.77			basic_acid																
#	51.5																								
#	WAVE 5																								
#	enemies						basic_lava	evolved_lava	alfa_lava	basic_acid		evolved_acid	alfa_acid	basic_shadow	evolved_shadow		alfa_shadow	basic_storm	evolved_storm	alfa_storm		tanky_draconian			
#	cant.						0	0	0	0		0	0	17	0		1	0	0	0		0			
#	gold	185					0	0	0	0		0	0	170	0		15	0	0	0		0			
	wave		5			32																			
#	event	warden	up																						
#	event	warden	down																						
						1		basic_shadow																	
						3				basic_shadow															
						2.25		basic_shadow																	
						2			basic_shadow																
						1.5				basic_shadow															
						5			alfa_shadow																
																									
						10			basic_shadow																
						1.75		basic_shadow																	
						1.33				basic_shadow															
						2.25		basic_shadow																	
						2			basic_shadow																
						10			basic_shadow																
						2		basic_shadow																	
						2.25				basic_shadow															
						3			basic_shadow																
						1.77		basic_shadow																	
						2			basic_shadow																
						1.5		basic_shadow																	
						1.25				basic_shadow															
#	55.85																								
																									
#	WAVE 6																								
#	enemies						basic_lava	evolved_lava	alfa_lava	basic_acid		evolved_acid	alfa_acid	basic_shadow	evolved_shadow		alfa_shadow	basic_storm	evolved_storm	alfa_storm		tanky_draconian			
#	cant.						11	0	1	12		0	2	0	0		0	0	0	0		0			
#	gold	432					88	0	80	84		0	180	0	0		0	0	0	0		0			
	wave	6				20																			
																									
						1													basic_lava						
						2												basic_lava		basic_lava					
						1.5													basic_lava						
						1.25												basic_lava		basic_lava					
						2			alfa_acid																
						4													alfa_lava						
	event	warden	down																						
						7		basic_acid		basic_acid															
						2		basic_acid		basic_acid															
						6													basic_lava						
						2													basic_lava	basic_lava					
						1.25		alfa_acid										basic_lava							
						1.5												basic_lava	basic_lava						
						15			basic_acid																
						2.5		basic_acid		basic_acid															
						2				basic_acid															
						2			basic_acid																
						1.5		basic_acid		basic_acid															
						1.5			basic_acid																
																									
																									
																									
																									
																									
#	56																								
																									
																									
#	WAVE 7																								
#	enemies						basic_lava	evolved_lava	alfa_lava	basic_acid		evolved_acid	alfa_acid	basic_shadow	evolved_shadow		alfa_shadow	basic_storm	evolved_storm	alfa_storm		tanky_draconian			
#	cant.						0	0	0	0		0	0	15	0		0	19	0	0		0			
#	gold	435					0	0	0	0		0	0	150	0		0	285	0	0		0			
	wave		7			27																			
#	event	warden	up																						
#	event	warden	down																						
						1								basic_storm											
						2							basic_storm	basic_storm											
						1.33									basic_storm										
						2							basic_storm												
						1.77							basic_storm	basic_storm											
						1.33								basic_storm											
						1.2								basic_storm	basic_storm										
						8								basic_shadow											
						2				basic_shadow															
						1.5							basic_shadow												
						3								basic_shadow											
						1.77				basic_shadow															
						1.25			basic_shadow																
						2.5								basic_shadow											
						1.5				basic_shadow															
						10			basic_storm				basic_shadow												
						1.5		basic_storm		basic_shadow															
						1.25				basic_storm			basic_shadow												
						1.33			basic_shadow	basic_storm															
						5		basic_storm		basic_storm				basic_shadow											
						1.33			basic_storm																
						1.25			basic_shadow				basic_shadow												
						1		basic_storm	basic_storm																
	wait_signal	all_enemies_died				-1																			
	event	show_path	1																						
#	53.81																								
																									
																									
#	WAVE 8																								
#	enemies						basic_lava	evolved_lava	alfa_lava	basic_acid		evolved_acid	alfa_acid	basic_shadow	evolved_shadow		alfa_shadow	basic_storm	evolved_storm	alfa_storm		tanky_draconian			
#	cant.						21	0	0	13		0	1	0	0		0	0	0	0		6			
#	gold	529					168	0	0	91		0	90	0	0		0	0	0	0		180			
