#	COMANDOS						1	arriba/arriba				2	medio arriba				3	medio/abajo				4	corto / abajo		
	column_names					inc	1:*	1:2	1:1	1:3		2:*	2:2	2:1	2:3		3:*	3:2	3:1	3:3		4:*	4:2	4:1	4:3
#	level properties																								
	description	rodri																							
	lives	20																							
	gold	1200																							
	gems	150																							
	enemy_prefix	enemy_																							
	default_increment	1																							
	default_interval	20																							
#	expected gold																								
#	stage total gold	2983																							
#	stage gold curve																								
#	WAVE 1																								
#	enemies						basic_lava	evolved_lava	alfa_lava	basic_acid		evolved_acid	alfa_acid	basic_shadow	evolved_shadow		alfa_shadow	basic_storm	evolved_storm	alfa_storm		tanky_draconian			
#	cant.						16	0	0	0		0	0	16	0		0	0	0	0		0			
#	gold	288					128	0	0	0		0	0	160	0		0	0	0	0		0			
	wave		1			-1																			
																									
						1																	basic_shadow		
						1.25									basic_lava								basic_shadow		
						1									basic_lava								basic_shadow		
						1.25									basic_lava										
						5																	basic_shadow		
						1.5									basic_lava								basic_shadow		
						1.25									basic_lava								basic_shadow		
						1									basic_lava										
	event	warden	down																						
						6																	basic_shadow		
						1.25									basic_lava								basic_shadow		
						1.25									basic_lava								basic_shadow		
						1									basic_lava										
																									
																									
	wait					8																			
	event	warden	down																						
						3								basic_lava											
						0.77								basic_lava											
						1									basic_lava										
						2							basic_lava												
						0.77								basic_lava											
						1									basic_lava										
						0.6								basic_lava											
						7																			basic_shadow
						0.77																		basic_shadow	
						1																		basic_shadow	
						2																	basic_shadow		
						0.77																		basic_shadow	
						1																			basic_shadow
						0.6																		basic_shadow	
#	52.03																								
#	WAVE 2																								
#	enemies						basic_lava	evolved_lava	alfa_lava	basic_acid		evolved_acid	alfa_acid	basic_shadow	evolved_shadow		alfa_shadow	basic_storm	evolved_storm	alfa_storm		tanky_draconian			
#	cant.						18	0	0	0		0	0	0	0		0	13	0	0		0			
#	gold	339					144	0	0	0		0	0	0	0		0	195	0	0		0			
	wave		2			20																			
						0								basic_lava											
						1.5							basic_lava		basic_lava										
						0.75							basic_lava	basic_lava											
						2.5									basic_lava										
						1.5							basic_lava		basic_lava										
						0.75								basic_lava											
	wait					6.5																			
	event	warden	down																						
						2																		basic_storm	
						1																	basic_storm		
						1.5																			basic_storm
						1.5																		basic_storm	basic_storm
						1																	basic_storm		
						7								basic_lava											
						1.5							basic_lava		basic_lava										
						1							basic_lava												
						1.5								basic_lava											
						2.5									basic_lava										
						1.22							basic_lava		basic_lava										
						1								basic_lava											
	wait					3																			
	event	warden	down																						
						4																	basic_storm		basic_storm
						1.28																		basic_storm	
						1.5																	basic_storm		
						1.5																	basic_storm	basic_storm	
						1																			basic_storm
#	47																								
																									
#	WAVE 3																								
#	enemies						basic_lava	evolved_lava	alfa_lava	basic_acid		evolved_acid	alfa_acid	basic_shadow	evolved_shadow		alfa_shadow	basic_storm	evolved_storm	alfa_storm		tanky_draconian			
#	cant.						9	0	0	0		0	0	12	0		0	0	0	0		0			
#	gold	192					72	0	0	0		0	0	120	0		0	0	0	0		0			
	wave		3			13																			
						0								alfa_lava											
						3												basic_shadow							
						1														basic_shadow					
						0.77													basic_shadow						
						0.77														basic_shadow					
						0.66												basic_shadow							
																									
	event	warden	down																						
						5		basic_lava		basic_lava															
						1			basic_lava																
						1.22		basic_lava		basic_lava															
						1		basic_lava	basic_lava																
						0.88				basic_lava															
						1			basic_lava																
	wait					2																			
	event	warden	down																						
						5												basic_shadow	basic_shadow						
						2													basic_shadow						
						1.45														basic_shadow					
						2.5												basic_shadow							
						1.5													basic_shadow						
						1.25												basic_shadow	basic_shadow						
																									
																									
#	29																								
#	WAVE 4																								
#	enemies						basic_lava	evolved_lava	alfa_lava	basic_acid		evolved_acid	alfa_acid	basic_shadow	evolved_shadow		alfa_shadow	basic_storm	evolved_storm	alfa_storm		tanky_draconian			
#	cant.						15	0	0	0		0	0	14	0		0	10	0	0		6			
#	gold	590					120	0	0	0		0	0	140	0		0	150	0	0		180			
	wave		4			17.5																			
						0								tanky_draconian											
						1							basic_lava		basic_lava										
						1.5								basic_lava											
						1.2							basic_lava		basic_lava										
						0.9								basic_lava											
						1.33								basic_lava											
						1.4							tanky_draconian		tanky_draconian										
	wait					7.5																			
	event	warden	down																						
						6													basic_shadow					basic_storm	
						1												basic_shadow							
						1.25														basic_shadow			basic_storm		
						2.3												basic_shadow							
						1													basic_shadow						basic_storm
						1.38														basic_shadow					
						1.22												basic_shadow							
																									
	wait					4																			
	event	warden	down																						
						5								basic_lava	basic_lava								basic_storm		
						1.22							tanky_draconian												
						2									basic_lava								basic_storm		
						1.2							basic_lava		basic_lava										
																									
						2.5								basic_lava	tanky_draconian									basic_storm	
						1								basic_lava											
						1.25							basic_lava	tanky_draconian											basic_storm
						12													basic_shadow				basic_storm		
						1												basic_shadow		basic_shadow					
						1.2														basic_shadow					
						1													basic_shadow						basic_storm
						1.65												basic_shadow							
																									
						1													basic_shadow				basic_storm		
																									
#	64																								
#	WAVE 5																								
#	enemies						basic_lava	evolved_lava	alfa_lava	basic_acid		evolved_acid	alfa_acid	basic_shadow	evolved_shadow		alfa_shadow	basic_storm	evolved_storm	alfa_storm		tanky_draconian			
#	cant.						0	0	0	0		0	0	11	0		1	0	0	0		0			
#	gold	125					0	0	0	0		0	0	110	0		15	0	0	0		0			
	wave		5			13																			
						0																			
						1								basic_shadow											
						1.2									basic_shadow										
						0.77								basic_shadow											
						1.5							basic_shadow												
						0.77									basic_shadow										
						1.22							basic_shadow												
	event	warden	down																						
						3								alfa_shadow											
						5									basic_shadow										
						1.22							basic_shadow												
						1.5									basic_shadow										
						1.55								basic_shadow											
	event	warden	down																						
						0.77							basic_shadow												
						1.5									basic_shadow										
																									
																									
																									
																									
																									
																									
																									
																									
																									
#	20																								
																									
																									
																									
																									
#	WAVE 6																								
#	enemies						basic_lava	evolved_lava	alfa_lava	basic_acid		evolved_acid	alfa_acid	basic_shadow	evolved_shadow		alfa_shadow	basic_storm	evolved_storm	alfa_storm		tanky_draconian			
#	cant.						11	0	0	0		0	0	11	0		3	0	0	0		0			
#	gold	243					88	0	0	0		0	0	110	0		45	0	0	0		0			
	wave	6				11																			
	event	warden	down																						
						1													basic_shadow						
						1.75												basic_shadow							
						1.5														basic_shadow					
						3													alfa_shadow						
																									
						6												alfa_shadow							
						2												basic_shadow							
						1.5												basic_shadow							
						2														basic_shadow					
						1.75													basic_shadow						
						10			basic_lava																
						1				basic_lava															
						1.5			basic_lava																
						1		basic_lava																	
						1.5				basic_lava															
						1			basic_lava																
						7																		alfa_shadow	
						3														basic_shadow					
						1.5																	basic_shadow		
						1												basic_shadow							
						1.5																			basic_shadow
																			basic_shadow						
																									
						9			basic_lava																
						1			basic_lava																
						1.5		basic_lava																	
						1				basic_lava															
						1.5		basic_lava																	
																									
																									
																									
#	64.5																								
