#	COMANDOS					1	izq > izq				2	arriba > izq				3	arriba > der				4	med > der				5	abajo > der				6	abajo > abajo der				7	abajo > abajo izq				8	SPWN 1				9	SPWN 2				10	TO P9				11	SPWN 3				12	TO P11				13	SPWN 4				14	SPWN 5				15	TO P14				16	TO PATH 6				17	SPWN 6				18					19	med > der				20	med > der				21	med > der				22	med > der		
	column_names				inc	1:*	1:2	1:1	1:3		2:*	2:2	2:1	2:3		3:*	3:2	3:1	3:3		4:*	4:2	4:1	4:3		5:*	5:2	5:1	5:3		6:*	6:2	6:1	6:3		7:*	7:2	7:1	7:3		8:*	8:2	8:1	8:3		9:*	9:2	9:1	9:3		10:*	10:2	10:1	10:3		11:*	11:2	11:1	11:3		12:*	12:2	12:1	12:3		13:*	13:2	13:1	13:3		14:*	14:2	14:1	14:3		15:*	15:2	15:1	15:3		16:*	16:2	16:1	16:3		17:*	17:2	17:1	17:3		18:*	18:2	18:1	18:3		19:*	19:2	19:1	19:3		20:*	20:2	20:1	20:3		21:*	21:2	21:1	21:3		22:*	22:2	22:1	22:3
#	level properties																																																																																																																	
	description	gerson																																																																																																																
	lives	20																																																																																																																
	gold	1200																																																																																																																
	gems	150																																																																																																																
	enemy_prefix	enemy_																																																																																																																
	default_increment	1																																																																																																																
	default_interval	20																																																																																																																
#	expected gold																																																																																																																	
#	stage total gold	7255		BF p1 1000+																																																																																																														
#	stage gold curve																																																																																																																	
#	WAVE 1																																																																																																																	
#	enemies					basic_lava	evolved_lava	alfa_lava	basic_acid		evolved_acid	alfa_acid	basic_shadow	evolved_shadow		alfa_shadow	basic_storm	evolved_storm	alfa_storm		tanky_draconian	executioner_storm																																																																																												
#	cant.					18	0	1	0		0	0	0	0		0	0	0	0		0	0																																																																																												
#	gold	224				144	0	80	0		0	0	0	0		0	0	0	0		0	0																																																																																												
	wave		1		-1																																																																																																													
																																																																																																																		
					1																	basic_lava																																																																																												
					3													alfa_lava						basic_lava																																																																																										
					2																		basic_lava																																																																																											
					2																	basic_lava																																																																																												
					1.5																			basic_lava																																																																																										
					5																	basic_lava																																																																																												
					1.25																		basic_lava																																																																																											
					2																			basic_lava																																																																																										
					1.5																			basic_lava																																																																																										
					2													basic_lava				basic_lava																																																																																												
					1.75												basic_lava						basic_lava																																																																																											
					9														basic_lava			basic_lava																																																																																												
					2													basic_lava					basic_lava																																																																																											
					2																			basic_lava																																																																																										
					3																																																																																																													
																																																																																																																		
																																																																																																																		
																																																																																																																		
#	39																																																																																																																	
#	WAVE 2																																																																																																																	
#	enemies					basic_lava	evolved_lava	alfa_lava	basic_acid		evolved_acid	alfa_acid	basic_shadow	evolved_shadow		alfa_shadow	basic_storm	evolved_storm	alfa_storm		tanky_draconian	executioner_storm																																																																					tanky_draconian					tanky_draconian					tanky_draconian					tanky_draconian					tanky_draconian			
#	cant.					12	0	0	0		0	0	0	0		0	10	0	0		0	0																																																																					0					0					0					0					0			
#	gold	246				96	0	0	0		0	0	0	0		0	150	0	0		0	0																																																																					0					0					0					0					0			
	wave		2		30																																																																																																													
																																																																																																																		
					1								basic_storm																																																																																																					
					4							basic_storm																																																																																																						
					3.5									basic_storm																																																																																																				
					3							basic_storm																																																																																																						
					5									basic_storm																																																																																																				
					3								basic_storm				basic_lava																																																																																																	
					2.5							basic_storm						basic_lava																																																																																																
					2.5														basic_lava																																																																																															
					6								basic_storm				basic_lava																																																																																																	
					3									basic_storm					basic_lava																																																																																															
					3							basic_storm																																																																																																						
																																																																																																																		
					5														basic_lava																																																																																															
					2												basic_lava																																																																																																	
					2													basic_lava																																																																																																
					1.5												basic_lava																																																																																																	
					2.5														basic_lava																																																																																															
					1.5												basic_lava																																																																																																	
					1													basic_lava																																																																																																
																																																																																																																		
																																																																																																																		
#	52																																																																																																																	
																																																																																																																		
#	WAVE 3																																																																																																																	
#	enemies					basic_lava	evolved_lava	alfa_lava	basic_acid		evolved_acid	alfa_acid	basic_shadow	evolved_shadow		alfa_shadow	basic_storm	evolved_storm	alfa_storm		tanky_draconian	executioner_storm																																																																					tanky_draconian					tanky_draconian					tanky_draconian					tanky_draconian					tanky_draconian			
#	cant.					0	0	0	0		0	0	0	0		0	13	0	0		5	0																																																																					5					5					5					5					5			
#	gold	345				0	0	0	0		0	0	0	0		0	195	0	0		150	0																																																																					150					150					150					150					150			
	wave		3		22																																																																																																													
					1																			tanky_draconian																																																																																										
					2													basic_storm																																																																																																
					3																	tanky_draconian																																																																																												
					2.5												basic_storm																																																																																																	
					3													basic_storm																																																																																																
					5														basic_storm																																																																																															
					3												basic_storm																																																																																																	
					3													basic_storm																																																																																																
					2.5												basic_storm																																																																																																	
					2														basic_storm																																																																																															
					5																		tanky_draconian																																																																																											
					3																	tanky_draconian																																																																																												
					3																			tanky_draconian																																																																																										
					4												basic_storm																																																																																																	
					2													basic_storm																																																																																																
					3														basic_storm																																																																																															
					2.5													basic_storm																																																																																																
					2													basic_storm																																																																																																
	wait_signal	all_enemies_died			-1																																																																																																													
	event	activate_spawner	11	active																																																																																																														
	event	activate_spawner	9	active																																																																																																														
#	50.5																																																																																																																	
#	WAVE 4																																																																																																																	
