#	COMANDOS					1	abajo				2	arriba				3	derecha arriba				4	abajo corta hacia arriba				5	derecha arriba corta hacia abajo				6	medio abajo primero				7	medio abajo segundo				8	medio arriba primero				9	medio arriba segundo		
	column_names				inc	1:*	1:2	1:1	1:3		2:*	2:2	2:1	2:3		3:*	3:2	3:1	3:3		4:*	4:2	4:1	4:3		5:*	5:2	5:1	5:3		6:*	6:2	6:1	6:3		7:*	7:2	7:1	7:3		8:*	8:2	8:1	8:3		9:*	9:2	9:1	9:3
#	level properties																																																
	description	gerson																																															
	lives	20																																															
	gold	1000																																															
	gems	300																																															
	enemy_prefix	enemy_																																															
	default_increment	1																																															
	default_interval	20																																															
#	expected gold																																																
#	stage total gold	9122																																															
#	stage gold curve																																																
#	WAVE 1																																																
#	enemies					basic_lava	evolved_lava	alfa_lava	basic_acid		evolved_acid	alfa_acid	basic_shadow	evolved_shadow		alfa_shadow	basic_storm	evolved_storm	alfa_storm		tanky_draconian	executioner_storm																											
#	cant.					12	0	1	0		0	0	0	0		0	0	0	0		0	2																											
#	gold	356				96	0	80	0		0	0	0	0		0	0	0	0		0	180																											
	wave		1		-1																																												
																																																	
					1													executioner_storm																															
					3			alfa_lava																																									
					2				basic_lava																																								
					2		basic_lava																																										
					1.5				basic_lava																																								
					8		basic_lava																																										
					1.5			basic_lava									executioner_storm																																
					1.5				basic_lava																																								
																																																	
					5		basic_lava																																										
					2		basic_lava		basic_lava																																								
					7			basic_lava																																									
					1		basic_lava																																										
					1				basic_lava																																								
																																																	
																																																	
																																																	
#	arrastra Execus arriba																																																
#	36.5																																																
#	WAVE 2																																																
#	enemies					basic_lava	evolved_lava	alfa_lava	basic_acid		evolved_acid	alfa_acid	basic_shadow	evolved_shadow		alfa_shadow	basic_storm	evolved_storm	alfa_storm		tanky_draconian	executioner_storm																											
#	cant.					0	0	0	0		0	0	0	0		0	14	0	0		6	0																											
#	gold	390				0	0	0	0		0	0	0	0		0	210	0	0		180	0																											
	wave		2		30																																												
																																																	
					1													basic_storm																															
					4												basic_storm																																
					3			tanky_draconian											basic_storm																														
					3												basic_storm																																
					3		tanky_draconian												basic_storm																														
					2				tanky_draconian																																								
																																																	
																																																	
					6													basic_storm																															
					1.5														basic_storm																														
					1.5												basic_storm																																
					5			tanky_draconian										basic_storm																															
					1.5														basic_storm																														
					3												basic_storm																																
					3				tanky_draconian																																								
					2.5												basic_storm																																
					2		tanky_draconian												basic_storm																														
					1.5													basic_storm																															
																																																	
																																																	
#	43.5																																																
																																																	
#	WAVE 3																																																
#	enemies					basic_lava	evolved_lava	alfa_lava	basic_acid		evolved_acid	alfa_acid	basic_shadow	evolved_shadow		alfa_shadow	basic_storm	evolved_storm	alfa_storm		tanky_draconian	executioner_storm																											
#	cant.					6	0	0	11		0	0	0	0		0	12	0	0		5	0																											
#	gold	455				48	0	0	77		0	0	0	0		0	180	0	0		150	0																											
	wave		3		17																																												
																																																	
					2													basic_storm																															
					2				tanky_draconian			basic_acid																																					
					2			basic_lava									basic_storm																																
					2		tanky_draconian							basic_acid					basic_storm																														
					5			basic_lava										basic_storm																															
					1.5												basic_storm																																
					3			basic_lava				basic_acid						basic_storm																															
					1.5		basic_lava																																										
					3			basic_lava						basic_acid				basic_storm																															
					2				basic_lava										basic_storm																														
					6			tanky_draconian				basic_acid																																					
					2				tanky_draconian				basic_acid				basic_storm																																
					3		tanky_draconian							basic_acid				basic_storm																															
					1.5							basic_acid																																					
					2								basic_acid	basic_acid					basic_storm																														
					1.5							basic_acid						basic_storm																															
	wait_signal	all_enemies_died			-1																																												
	event	move_island																																															
																																																	
#	39																																																
#	WAVE 4																																																
#	enemies					basic_lava	evolved_lava	alfa_lava	basic_acid		evolved_acid	alfa_acid	basic_shadow	evolved_shadow		alfa_shadow	basic_storm	evolved_storm	alfa_storm		tanky_draconian	executioner_storm																											
#	cant.					0	0	0	0		0	0	0	0		0	10	0	2		0	3																											
#	gold	520				0	0	0	0		0	0	0	0		0	150	0	100		0	270																											
	wave		4		8																																												
																																																	
																																																	
					8									executioner_storm																																			
					3													alfa_storm																															
					3							executioner_storm																																					
	event	stun_stage	LEFT																																														
					4													basic_storm																															
					1.5												basic_storm																																
					4														basic_storm																														
																																																	
					6								executioner_storm																																				
					5												basic_storm																																
					2.5													basic_storm																															
					4														alfa_storm																														
					6												basic_storm																																
	event	stun_stage	RIGHT																																														
					3														basic_storm																														
					2													basic_storm																															
					1.5												basic_storm																																
					1.5														basic_storm																														
																																																	
#	arrastra Storms arriba																																																
#	55																																																
#	WAVE 5																																																
#	enemies					basic_lava	evolved_lava	alfa_lava	basic_acid		evolved_acid	alfa_acid	basic_shadow	evolved_shadow		alfa_shadow	basic_storm	evolved_storm	alfa_storm		tanky_draconian	executioner_storm																											
#	cant.					0	0	0	10		0	1	0	0		0	21	0	0		0	0																											
#	gold	475				0	0	0	70		0	90	0	0		0	315	0	0		0	0																											
	wave		5		40																																												
																																																	
					3																											basic_storm																	
					1																												basic_storm											basic_storm					
					2																																						alfa_acid						
					1																											basic_storm																	
					1																																							basic_storm					
					1.5																											basic_storm																	
					1.5																																							basic_storm					
					6								basic_acid																			basic_storm																	
					1.25							basic_acid																				basic_storm																	
					2.5									basic_acid																		basic_storm																	
					3.5								basic_acid																															basic_storm					
