#	COMANDOS					1	abajo				2	arriba				3	derecha arriba				4	abajo corta hacia arriba				5	derecha arriba corta hacia abajo				6	medio abajo primero				7	medio abajo segundo				8	medio arriba primero				9	medio arriba segundo		
	column_names				inc	1:*	1:2	1:1	1:3		2:*	2:2	2:1	2:3		3:*	3:2	3:1	3:3		4:*	4:2	4:1	4:3		5:*	5:2	5:1	5:3		6:*	6:2	6:1	6:3		7:*	7:2	7:1	7:3		8:*	8:2	8:1	8:3		9:*	9:2	9:1	9:3
#	level properties																																																
	description	rodri																																															
	lives	1																																															
	gold	2800																																															
	gems	150																																															
	enemy_prefix	enemy_																																															
	default_increment	1																																															
	default_interval	20																																															
#	expected gold																																																
#	stage total gold	5562																																															
#	stage gold curve																																																
#	PUSH 1																																																
#	enemies					basic_lava	evolved_lava	alfa_lava	basic_acid		evolved_acid	alfa_acid	basic_shadow	evolved_shadow		alfa_shadow	basic_storm	evolved_storm	alfa_storm		tanky_draconian	executioner_storm																											
#	cant.					0	0	0	0		0	0	29	0		0	0	0	0		9	2																											
#	gold	740				0	0	0	0		0	0	290	0		0	0	0	0		270	180																											
	wave		1		-1																																												
					1							tanky_draconian																																					
					1									tanky_draconian																																			
					2								executioner_storm																																				
					5		tanky_draconian																																										
					1				tanky_draconian																																								
					2			executioner_storm																																									
					12																																	basic_shadow											
					1.5																																basic_shadow												
					2																																		basic_shadow										
					1.5																																basic_shadow												
					1.7																																	basic_shadow											
					1.8																																	basic_shadow											
					1.5																																		basic_shadow										
					6																																					basic_shadow							
					0.88																																						basic_shadow						
					1.2																																							basic_shadow					
					1.2																																							basic_shadow					
					0.88																																						basic_shadow						
					3																																					basic_shadow							
					1																																						basic_shadow						
					1.3																																						basic_shadow						
					1.3																																							basic_shadow					
					1																																						basic_shadow						
																																																	
					8			tanky_draconian				tanky_draconian																										basic_shadow											
					1.3																																		basic_shadow										
					2				tanky_draconian				tanky_draconian																								basic_shadow		basic_shadow										
					1.8																																												
					2.5		tanky_draconian							tanky_draconian																								basic_shadow											
					3																																basic_shadow		basic_shadow										
					2.2																																												
					1.3																																basic_shadow		basic_shadow										
					2																																	basic_shadow											
					2.4																																basic_shadow												
					1.3																																		basic_shadow										
																																																	
#	78.56																																																
#	PUSH 2																																																
#	enemies					basic_lava	evolved_lava	alfa_lava	basic_acid		evolved_acid	alfa_acid	basic_shadow	evolved_shadow		alfa_shadow	basic_storm	evolved_storm	alfa_storm		tanky_draconian	executioner_storm																											
#	cant.					6	0	0	11		0	0	8	0		0	11	0	0		0	6																											
#	gold	910				48	0	0	77		0	0	80	0		0	165	0	0		0	540																											
#	wave		2																																														
																																																	
					16							executioner_storm																																					
					3									executioner_storm			basic_acid																																
					1.7													basic_acid	basic_acid																														
					1.3												basic_acid																																
					1.5												basic_acid		basic_acid																														
					6		executioner_storm											basic_acid																															
					1.2				executioner_storm								basic_acid	basic_acid																															
					1														basic_acid																														
					1.05													basic_acid																															
					10		executioner_storm																										basic_storm																
					1.5																													basic_storm															
					1				executioner_storm																							basic_storm																	
																																																	
					3																												basic_storm																
					1.5																											basic_storm																	
					1																													basic_storm															
																																																	
					10																																											basic_shadow	
					1													basic_lava																															basic_shadow
					1.25																																											basic_shadow	
					1												basic_lava																														basic_shadow		
					1.25																																											basic_shadow	
					1														basic_lava																														basic_shadow
					1.25																																										basic_shadow	basic_shadow	
					5													basic_lava																				basic_storm											
					1.5																																basic_storm												
					1.5												basic_lava																					basic_storm											
					1.5																																		basic_storm										
					1														basic_lava																			basic_storm											
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
#	78																																																
																																																	
#	PUSH 3																																																
#	enemies					basic_lava	evolved_lava	alfa_lava	basic_acid		evolved_acid	alfa_acid	basic_shadow	evolved_shadow		alfa_shadow	basic_storm	evolved_storm	alfa_storm		tanky_draconian	executioner_storm																											
#	cant.					9	0	1	5		0	1	6	0		1	10	0	5		0	4																											
#	gold	1112				72	0	80	35		0	90	60	0		15	150	0	250		0	360																											
#	wave		3																																														
					15							executioner_storm						alfa_lava																															
					1.5									executioner_storm																																			
					2.5								alfa_storm																																				
					7												basic_lava		basic_lava																														
					1.5													basic_lava																															
					1.25													basic_lava																															
					1												basic_lava																																
					1.4														basic_lava																														
					1												basic_lava	basic_lava																															
					1.2														basic_lava																														
					8																																	basic_shadow											
					2																																basic_shadow												
					2.25																																basic_shadow												
					2.5																																		basic_shadow										
					3																																	basic_shadow											
					1.7																																basic_shadow												
					2																																	alfa_shadow											
					8																											alfa_storm																	
					4			alfa_storm					alfa_storm																			basic_storm																	
					2																												basic_storm																
					2.5																												basic_storm																
					2																											basic_storm																	
					2																											basic_storm																	
					4																																												alfa_storm
					2																																												basic_storm
					2																																												basic_storm
					1.5																																										basic_storm		
					2																																												basic_storm
					2																																											basic_storm	
					10.5		executioner_storm											alfa_acid																															
					2				executioner_storm																																								
																																																	
					5														basic_acid																														
					1													basic_acid																															
					1.2													basic_acid																															
					1.5												basic_acid																																
					1												basic_acid																																
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
#	111																																																
